0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
16	12372.66278	12981.45097	18460.10333	17447.01271	17027.75729	15360.30887	19005.93003	17985.78582	21398.84961	20163.57451	21630.64692	22666.66268	21484.52936	20677.48942
15	12562.35433	13180.47616	18743.12451	17714.50169	17288.81845	15595.80554	19297.31955	18261.535	21726.92619	20472.71247	21962.27731	23014.17675	21813.91954	20994.50647
14	12754.95414	13382.55271	19030.48484	17986.09167	17553.88207	15834.91272	19593.17652	18541.51183	22060.03269	20786.58998	22298.99209	23367.01874	22148.35977	21316.38387
13	12950.50679	13587.72739	19322.25082	18261.84554	17823.00951	16077.68577	19893.56942	18825.78113	22398.24621	21105.2797	22640.86921	23725.27032	22487.92748	21643.19613
12	13149.05756	13796.04771	19618.49002	18541.82713	18096.26308	16324.18091	20198.56779	19114.4087	22741.64505	21428.85542	22987.98783	24089.01444	22832.70127	21975.01891
11	13412.03871	14071.96867	20010.85982	18912.66367	18458.18834	16650.66452	20602.53915	19496.69687	23196.47795	21857.43253	23447.74758	24570.79472	23289.35529	22414.51929
10	13680.27949	14353.40804	20411.07702	19290.91695	18827.35211	16983.67781	21014.58993	19886.63081	23660.40751	22294.58118	23916.70254	25062.21062	23755.1424	22862.80968
9	13953.88508	14640.4762	20819.29856	19676.73529	19203.89915	17323.35137	21434.88173	20284.36343	24133.61566	22740.4728	24395.03659	25563.45483	24230.24525	23320.06587
8	14232.96278	14933.28573	21235.68453	20070.26999	19587.97714	17669.8184	21863.57936	20690.05069	24616.28797	23195.28226	24882.93732	26074.72393	24714.85015	23786.46719
7	14517.62203	15231.95144	21660.39822	20471.67539	19979.73668	18023.21477	22300.85095	21103.85171	25108.61373	23659.1879	25380.59607	26596.21841	25209.14715	24262.19653
6	14807.97448	15536.59047	22093.60619	20881.1089	20379.33141	18383.67906	22746.86797	21525.92874	25610.786	24132.37166	25888.20799	27128.14277	25713.3301	24747.44046
5	15104.13396	15847.32228	22535.47831	21298.73108	20786.91804	18751.35264	23201.80533	21956.44732	26123.00172	24615.0191	26405.97215	27670.70563	26227.5967	25242.38927
4	15406.21664	16164.26873	22986.18788	21724.7057	21202.6564	19126.3797	23665.84143	22395.57626	26645.46176	25107.31948	26934.09159	28224.11974	26752.14863	25747.23706
3	15714.34098	16487.5541	23445.91163	22159.19981	21626.70953	19508.90729	24139.15826	22843.48779	27178.37099	25609.46587	27472.77342	28788.60214	27287.19161	26262.1818
2	16028.6278	16817.30518	23914.82987	22602.38381	22059.24372	19899.08544	24621.94143	23300.35754	27721.93841	26121.65518	28022.22889	29364.37418	27832.93544	26787.42543
1	16349.20035	17153.65129	24393.12646	23054.43149	22500.42859	20297.06714	25114.38026	23766.3647	28276.37718	26644.08829	28582.67347	29951.66166	28389.59415	27323.17394
0	16676.18436	17496.72431	24880.98899	23515.52012	22950.43717	20703.00849	25616.66786	24241.69199	28841.90472	27176.97005	29154.32694	30550.6949	28957.38603	27869.63742
