0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,11750,13129,18044,23080,17502,17920,17613,15166,18830,19002,20589,20914,20275,20879
15,11930,13331,18321,23434,17770,18195,17883,15398,19118,19293,20904,21234,20586,21199
14,12168,13597,18687,23902,18125,18559,18241,15706,19501,19679,21322,21659,20998,21623
13,12412,13869,19061,24380,18488,18930,18606,16020,19891,20073,21749,22092,21418,22055
12,12660,14147,19442,24868,18858,19309,18978,16341,20288,20474,22184,22534,21846,22496
11,12913,14430,19831,25365,19235,19695,19357,16668,20694,20884,22628,22985,22283,22946
10,13171,14718,20227,25873,19620,20089,19744,17001,21108,21301,23080,23444,22729,23405
9,13435,15013,20632,26390,20012,20491,20139,17341,21530,21727,23542,23913,23183,23873
8,13703,15313,21045,26918,20412,20900,20542,17688,21961,22162,24013,24391,23647,24351
7,13978,15619,21466,27456,20820,21318,20953,18042,22400,22605,24493,24879,24120,24838
6,14257,15931,21895,28005,21237,21745,21372,18402,22848,23057,24983,25377,24602,25335
5,14542,16250,22333,28565,21662,22180,21799,18771,23305,23518,25482,25884,25094,25841
4,14833,16575,22779,29137,22095,22623,22235,19146,23771,23989,25992,26402,25596,26358
3,15130,16907,23235,29719,22537,23076,22680,19529,24247,24468,26512,26930,26108,26885
2,15432,17245,23700,30314,22987,23537,23134,19919,24731,24958,27042,27469,26630,27423
1,15741,17590,24174,30920,23447,24008,23596,20318,25226,25457,27583,28018,27163,27971
0,16056,17941,24657,31538,23916,24488,24068,20724,25731,25966,28135,28578,27706,28531
