0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,
16,11312.71837,11312.71837,11312.71837,11312.71837,11312.71837,17786.28316,17786.28316,17786.28316,17786.28316,"18,560","18,560","18,560","18,560","18,560",,,
15,11951.87942,11951.87942,11951.87942,11951.87942,11951.87942,18152.09589,18152.09589,18152.09589,18152.09589,"19,031","19,031","19,031","19,031","19,031",,,
14,11627.45422,11627.45422,11627.45422,11627.45422,11627.45422,18411.11103,18411.11103,18411.11103,18411.11103,"19,451","19,451","19,451","19,451","19,451",,,
13,11982.36637,11982.36637,11982.36637,11982.36637,11982.36637,18637.44662,18637.44662,18637.44662,18637.44662,"19,887","19,887","19,887","19,887","19,887",,,
12,12444.22525,12444.22525,12444.22525,12444.22525,12444.22525,18964.30926,18964.30926,18964.30926,18964.30926,"20,306","20,306","20,306","20,306","20,306",,,
11,17750.21934,17750.21934,17750.21934,17750.21934,17750.21934,19459.03547,19459.03547,19459.03547,19459.03547,"20,699","20,699","20,699","20,699","20,699",,,
10,15320.44971,15320.44971,15320.44971,15320.44971,15320.44971,19991.79608,19991.79608,19991.79608,19991.79608,"21,148","21,148","21,148","21,148","21,148",,,
9,13337.62264,13337.62264,13337.62264,13337.62264,13337.62264,20420.10428,20420.10428,20420.10428,20420.10428,"21,585","21,585","21,585","21,585","21,585",,,
8,14171.06089,14171.06089,14171.06089,14171.06089,14171.06089,20729.44257,20729.44257,20729.44257,20729.44257,"22,023","22,023","22,023","22,023","22,023",,,
7,14194.15258,14194.15258,14194.15258,14194.15258,14194.15258,21255.83132,21255.83132,21255.83132,21255.83132,"22,518","22,518","22,518","22,518","22,518",,,
6,17200.00215,17200.00215,17200.00215,17200.00215,17200.00215,21330.15755,21330.15755,21330.15755,21330.15755,"22,943","22,943","22,943","22,943","22,943",,,
5,15008.39304,15008.39304,15008.39304,15008.39304,15008.39304,21540.69916,21540.69916,21540.69916,21540.69916,"23,345","23,345","23,345","23,345","23,345",,,
4,15930.63349,15930.63349,15930.63349,15930.63349,15930.63349,20652.18222,20652.18222,20652.18222,20652.18222,"23,820","23,820","23,820","23,820","23,820",,,
3,20394.59946,20394.59946,20394.59946,20394.59946,20394.59946,20859.39964,20859.39964,20859.39964,20859.39964,"24,218","24,218","24,218","24,218","24,218",,,
2,21128.68593,21128.68593,21128.68593,21128.68593,21128.68593,21732.41448,21732.41448,21732.41448,21732.41448,"24,597","24,597","24,597","24,597","24,597",,,
1,21647.52472,21647.52472,21647.52472,21647.52472,21647.52472,22711.56368,22711.56368,22711.56368,22711.56368,"25,019","25,019","25,019","25,019","25,019",,,
0,22049.23076,22049.23076,22049.23076,22049.23076,22049.23076,23238.0071,23238.0071,23238.0071,23238.0071,"25,511","25,511","25,511","25,511","25,511",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
