0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
9,10902,10902,11312,11312,12854,12854,14588,14588,13971,13971,14051,14051,13708,13708
8,11060,11060,11899,11899,14003,14003,16161,16161,15615,15615,15627,15627,15290,15290
7,11443,11443,12131,12131,14184,14184,16156,16156,16094,16094,15718,15718,15554,15554
6,11295,11295,12587,12587,14499,14499,16270,16270,16373,16373,16088,16088,15987,15987
5,12665,12665,13801,13801,15227,15227,17060,17060,17872,17872,17267,17267,16602,16602
4,12683,12683,13711,13711,15492,15492,17028,17028,18159,18159,17583,17583,17180,17180
3,12779,12779,13899,13899,15648,15648,17175,17175,17884,17884,17398,17398,16705,16705
2,12958,12958,13976,13976,15606,15606,17151,17151,17904,17904,17635,17635,16863,16863
1,13083,13083,13995,13995,15656,15656,17148,17148,17957,17957,17655,17655,16948,16948
0,13443,13443,14473,14473,15872,15872,17252,17252,17957,17957,17604,17604,17154,17154
