year,900,900-1200,1200-1500,1500-1700,1700-1900,1900-2100,2100,,MJ/L/KM,year,900,900-1200,1200-1500,1500-1700,1700-1900,1900-2100,2100
2018,3.8,3.8,4.056666667,4.415,5.87,4.7,6.235,,0.366086221,2018,1.391127642,1.391127642,1.485089772,1.616270668,2.14892612,1.720605241,2.282547591
2017,3.94,3.94,3.92,4.37,4.58,4.58,6.44,,,2017,1.442379713,1.442379713,1.435057988,1.599796788,1.676674894,1.676674894,2.357595266
2016,4.5,3.926666667,3.99,4.375,4.965,4.54,6.46,,,2016,1.647387997,1.437498563,1.460684024,1.601627219,1.81761809,1.662031445,2.364916991
2015,3.64,3.736666667,4.016666667,4.69,4.755,4.58,6.565,,,2015,1.332553846,1.367942181,1.470446323,1.716944379,1.740739983,1.676674894,2.403356044
2014,3.93,3.93,4.1,4.72,4.75,4.75,7.02,,,2014,1.43871885,1.43871885,1.500953508,1.727926965,1.738909552,1.738909552,2.569925275
2013,4.9,4.263333333,4.306666667,4.65,6.36,4.85,6.98,,,2013,1.793822485,1.560747591,1.576611327,1.70230093,2.328308369,1.775518174,2.555281826
2012,3.93,3.93,4.413333333,4.765,5.895,4.96,7.345,,,2012,1.43871885,1.43871885,1.615660524,1.744400845,2.158078276,1.815787658,2.688903297
2011,3.3,3.703333333,4.503333333,4.88,5.53,5.27,7.275,,,2011,1.208084531,1.355739307,1.648608284,1.786500761,2.024456805,1.929274387,2.663277261
2010,3.86,3.86,4.703333333,4.72,5.44,5.44,7.615,,,2010,1.413092815,1.413092815,1.721825528,1.727926965,1.991509045,1.991509045,2.787746577
2009,4.72,4.72,4.803333333,4.98,5.335,5.44,7.89,,,2009,1.727926965,1.727926965,1.75843415,1.823109383,1.953069992,1.991509045,2.888420287
2008,4.8,4.8,4.893333333,5.015,5.655,5.97,8.3,,,2008,1.757213863,1.757213863,1.79138191,1.835922401,2.070217582,2.185534742,3.038515638
2007,4.79,4.79,4.926666667,5.05,5.8,6.3,8.525,,,2007,1.753553001,1.753553001,1.803584784,1.848735418,2.123300085,2.306343195,3.120885038
2006,4.88,4.88,4.836666667,5.11,5.875,6.42,8.23,,,2006,1.786500761,1.786500761,1.770637025,1.870700592,2.150756551,2.350273542,3.012889603
2005,9.2,4.94,4.95,5.165,5.66,6.39,7.825,,,2005,3.367993238,1.808465934,1.812126796,1.890835334,2.072048014,2.339290955,2.864624683
2004,4.8,4.8,4.656666667,5.09,5.615,6.63,7.67,,,2004,1.757213863,1.757213863,1.704741505,1.863378867,2.055574134,2.427151648,2.807881319
2003,4.85,4.85,4.656666667,5.785,5.545,6.52,8.61,,,2003,1.775518174,1.775518174,1.704741505,2.117808791,2.029948098,2.386882164,3.152002367
2002,4.85,4.85,4.633333333,5.025,5.515,6.24,8.16,,,2002,1.775518174,1.775518174,1.696199493,1.839583263,2.018965511,2.284378022,2.987263567
2001,4.85,4.85,4.646666667,5.015,5.7,6.65,8.61,,,2001,1.775518174,1.775518174,1.701080642,1.835922401,2.086691462,2.434473373,3.152002367
2000,5.43,5.043333333,4.616666667,5.055,5.91,6.12,8.385,,,2000,1.987848183,1.846294844,1.690098056,1.85056585,2.163569569,2.240447675,3.069632967
1999,5.5,5.066666667,4.583333333,5.06,5.94,6.13,8.72,,,1999,2.013474218,1.854836855,1.677895182,1.852396281,2.174552156,2.244108538,3.192271851
1998,5.58,5.1,4.546666667,5.06,5.955,6.12,8.755,,,1998,2.042761116,1.86703973,1.66447202,1.852396281,2.180043449,2.240447675,3.205084869
1997,5.66,5.126666667,4.516666667,5.055,5.965,6.08,8.815,,,1997,2.072048014,1.876802029,1.653489434,1.85056585,2.183704311,2.225804227,3.227050042
1996,5.27,5.146666667,4.466666667,5.045,5.995,6.05,8.925,,,1996,1.929274387,1.884123753,1.635185123,1.846904987,2.194686898,2.21482164,3.267319527
1995,5.32,5.18,4.443333333,5.035,6.035,5.98,9.06,,,1995,1.947578698,1.896326627,1.626643111,1.843244125,2.209330347,2.189195604,3.316741167
1994,5.37,5.22,4.423333333,4.955,6.095,5.92,9.12,,,1994,1.965883009,1.910970076,1.619321386,1.813957227,2.23129552,2.167230431,3.33870634
1993,5.43,5.266666667,4.4,4.945,6.16,5.89,9.215,,,1993,1.987848183,1.9280541,1.610779374,1.810296365,2.255091124,2.156247844,3.373484531
1992,5.49,5.313333333,4.373333333,4.935,6.21,5.8,9.285,,,1992,2.009813356,1.945138123,1.601017075,1.806635503,2.273395435,2.123300085,3.399110566
1991,5.5,5.34,4.343333333,4.925,6.24,5.77,9.35,,,1991,2.013474218,1.954900423,1.590034489,1.802974641,2.284378022,2.112317498,3.422906171
1990,5.5,5.37,4.316666667,4.91,6.275,5.73,9.42,,,1990,2.013474218,1.965883009,1.580272189,1.797483347,2.29719104,2.097674049,3.448532206
