year,emission,emission with biofuel,consumption in MJ,consumption in liters
2001,850.6119437959821,850.6119437959821,11603649100.665167,315966856.4727402
2002,906.1644105609729,906.1644105609729,12361469791.66163,336602280.6765299
2003,845.2585650468685,845.2585650468685,11530620819.13121,313978299.56708807
2004,1026.6705945746664,1026.6705945746664,14005358622.466084,381365301.49470997
2005,1073.5240189368956,1073.5240189368956,14644511057.873535,398769394.299534
2006,1260.0524490015562,1260.0524490015562,17189044397.141354,468056925.61177015
2007,1521.1061439395032,1521.1061439395032,20750216438.73516,565027484.2334111
2008,1553.7036113898107,1553.7036113898107,21194895797.663208,577136083.6886246
2009,1763.8868319953283,1763.8868319953283,24062116692.62288,655210383.000333
2010,1808.4743435164205,1759.645536241477,24670358608.030003,671772783.7002239
2011,1966.353308214494,1891.6318825023432,26824069380.720634,730418233.6526473
2012,2297.3533689868755,2228.432767917269,31339416931.99225,853370949.5853779
2013,2143.4090968123573,2061.959551133488,29239381388.876415,796187073.7819208
2014,2306.128387536188,2204.6587384845957,31459121618.530807,856630502.9536778
2015,2495.665393699226,2385.85611637646,34044696541.558216,927035594.7930102
2016,2520.4707228239117,2429.7337768022503,34383079204.87336,936249739.8852147
2017,2703.949525929735,2557.936251529529,36886010963.80087,1004404461.9880043
2018,2768.9919622461935,2630.542364133884,37773289367.511566,1028565014.035424
