year,emission,consumption
2001,889.2646436505586,12130931099.439226
2002,947.0334649244757,12918986258.916689
2003,998.9710007396453,13627493757.721577
2004,1068.2890386680629,14573097912.864826
2005,1186.8725586609619,16190758663.05214
2006,1377.7767543824182,18794984144.663536
2007,1588.9496323077406,21675705480.514824
2008,2975.5858049423327,40591545652.86999
2009,3325.0230005761605,45358403948.74644
2010,3661.9413060464663,49954485417.837326
2011,4211.838157100219,57455920293.90219
2012,4766.00213887691,65015565365.50545
2013,5512.94897437526,75205063689.84824
2014,6421.392211844192,87597620169.1516
2015,7170.231125409212,97812929334.87367
2016,7812.36958604674,106572680976.76498
2017,8725.475752915958,119028846951.48715
2018,9636.924138110777,131462398246.30086
