year,emission,consumption in MJ,consumption in liters
2001,815.1592566796786,11120020174.485958,302797662.0082697
2002,868.1140095141023,11842404070.67363,322468143.8424599
2003,916.6799615785251,12504918005.618385,340508369.25584996
2004,979.369584429378,13360100431.77629,363794949.2411372
2005,1088.2119779210125,14844877303.962288,404225358.3993338
2006,1263.6039316415922,17237492057.25553,469376153.2734251
2007,1457.6110322388986,19884045911.557556,541441698.7389191
2008,1593.0756177594346,21731990238.476578,591761141.7734178
2009,1689.3991012316953,23045990013.012897,627541298.047045
2010,1779.096414069212,24269598676.199932,660860108.3200876
2011,1970.4215603520092,26879566567.894047,731929419.627174
2012,2144.4059045893446,29252979372.95051,796557346.2923166
2013,2365.2113487783035,32265103658.968925,878577358.5920583
2014,2643.7122661534354,36064282524.26062,982028832.5921692
2015,2809.0056425752596,38319137223.45938,1043428427.230703
2016,2889.9288581982983,39423053768.525505,1073488026.3729075
2017,3103.456280924951,42335894699.99936,1152804557.2795649
2018,3293.2896783423066,44925512853.47599,1223319746.1068323
