year,emission,consumption
2001,889.2646436505586,12130931099.439226
2002,947.0334649244757,12918986258.916689
2003,998.9710007396453,13627493757.721577
2004,1068.2890386680629,14573097912.864826
2005,1186.8725586609619,16190758663.05214
2006,1377.7767543824182,18794984144.663536
2007,1588.9496323077406,21675705480.514824
2008,1886.3456824993882,25732642883.659733
2009,1859.536940388467,25366930600.221596
2010,1821.704007908235,24850831483.401474
2011,1854.8370017284237,25302816241.84285
2012,1869.8417122394862,25507503463.668636
2013,1909.0252926899477,26042027486.4866
2014,1942.23161954844,26495012619.834732
2015,1927.567181695131,26294967237.978294
2016,1875.3832319288144,25583098275.64886
2017,1846.6251532613023,25190794057.372837
2018,1832.265612636906,24994907940.48075
