year,grams_CO2,number_cars,g_per_car_average,g_per_km_per_car_weighted,g_per_km_per_car_unweighted
2001,769810159406.3123,179072,4298886.254726101,163.04560664213386,163.00958271533239
2002,820085556557.3636,192230,4266168.426142452,163.7021479531852,163.5444981740624
2003,764242755801.716,203503,3755437.294790327,165.62892017458995,165.735736573908
2004,929063218266.2671,221624,4192069.5333820665,166.17832317055607,165.68988143883325
2005,971379391273.3837,246082,3947380.9188538115,165.07358538527356,166.60649931323698
2006,1139878356518.5286,290812,3919640.0303925853,168.7445824867356,168.15859203884287
2007,960283667508.924,337880,2842084.9636229547,169.47001499128237,169.07594596898312
2008,1445183121724.7913,383422,3769171.1005753223,167.68872458096484,167.9011388704874
2009,1686582892161.9114,424478,3973310.4946826724,165.75155069859915,166.43346968050167
2010,1787744242239.8293,480485,3720707.706254783,163.12429056928167,163.92755508604853
2011,2018317341542.8933,559195,3609326.516765875,161.12572262175243,161.6741062973023
2012,2164843999843.5803,621105,3485471.8603836396,159.87301202116902,160.70469985500026
2013,2360163925638.1006,693663,3402464.778484798,159.98679306109568,160.34531211790173
2014,2667265789446.4473,776440,3435250.35990733,159.86266613858615,160.54566829684202
2015,3097000486351.863,864925,3580657.844728575,161.3155583068241,162.41311812219556
2016,3509908482433.186,969228,3621344.495240734,162.3531154417775,163.50597490072508
2017,3842282681857.6436,1070518,3589180.8282136717,161.66801648754537,162.63857569229086
2018,3954656276449.339,1153592,3428123.874341482,164.96761098854367,166.02516813254596
