year,no_on_road,number_cars,with_on_road_factor
2001,131898030.0,179072,131898030.0
2002,140535152.0,192230,140535152.0
2003,168128597.0,203503,168128597.0
2004,162527423.0,221624,162527423.0
2005,175059731.0,246082,175059731.0
2006,203984667.0,290812,203984667.0
2007,235325509.0,337880,235325509.0
2008,268177354.0,383422,268177354.0
2009,314666181.0,424478,314666181.0
2010,339590075.0,480485,339590075.0
2011,390309263.0,559195,390309263.0
2012,436858626.0,621105,436858626.0
2013,492164621.0,693663,492164621.0
2014,539446004.0,776440,539446004.0
2015,588361989.0,864925,588361989.0
2016,649938452.0,969228,649938452.0
2017,681085061.0,1070518,681085061.0
2018,748506559.0,1153592,748506559.0
