year,<1300cc,1300cc - 1900cc,>1900cc
1985,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1986,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1987,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1988,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1989,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1990,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1991,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1992,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1993,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1994,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1995,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1996,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1997,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1998,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1999,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
2000,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
2001,"[31, 27, 16, 43, 30, 25, 21, 94, 195, 201, 165, 129, 198, 91, 38, 15, 12]","[8843, 10937, 9112, 7254, 7149, 7706, 7471, 7925, 6160, 5687, 5286, 4515, 2814, 1459, 843, 619, 667]","[10915, 10583, 7993, 9253, 7156, 6732, 6569, 6720, 5426, 3636, 2846, 2071, 1541, 730, 463, 270, 390]"
1986,"[32, 4, 11, 8, 24, 16, 6, 8, 74, 162, 167, 115, 77, 135, 56, 19, 14]","[11725, 8720, 10880, 8952, 7328, 7150, 7842, 7507, 7794, 5711, 5057, 3878, 3065, 1690, 839, 463, 706]","[12171, 10797, 10477, 7853, 9137, 7107, 6922, 6617, 6642, 5048, 3310, 2185, 1488, 1031, 474, 291, 445]"
1987,"[32, 4, 11, 8, 24, 16, 6, 8, 74, 162, 167, 115, 77, 135, 56, 19, 14]","[11725, 8720, 10880, 8952, 7328, 7150, 7842, 7507, 7794, 5711, 5057, 3878, 3065, 1690, 839, 463, 706]","[12171, 10797, 10477, 7853, 9137, 7107, 6922, 6617, 6642, 5048, 3310, 2185, 1488, 1031, 474, 291, 445]"
1988,"[32, 4, 11, 8, 24, 16, 6, 8, 74, 162, 167, 115, 77, 135, 56, 19, 14]","[11725, 8720, 10880, 8952, 7328, 7150, 7842, 7507, 7794, 5711, 5057, 3878, 3065, 1690, 839, 463, 706]","[12171, 10797, 10477, 7853, 9137, 7107, 6922, 6617, 6642, 5048, 3310, 2185, 1488, 1031, 474, 291, 445]"
1989,"[32, 4, 11, 8, 24, 16, 6, 8, 74, 162, 167, 115, 77, 135, 56, 19, 14]","[11725, 8720, 10880, 8952, 7328, 7150, 7842, 7507, 7794, 5711, 5057, 3878, 3065, 1690, 839, 463, 706]","[12171, 10797, 10477, 7853, 9137, 7107, 6922, 6617, 6642, 5048, 3310, 2185, 1488, 1031, 474, 291, 445]"
1990,"[32, 4, 11, 8, 24, 16, 6, 8, 74, 162, 167, 115, 77, 135, 56, 19, 14]","[11725, 8720, 10880, 8952, 7328, 7150, 7842, 7507, 7794, 5711, 5057, 3878, 3065, 1690, 839, 463, 706]","[12171, 10797, 10477, 7853, 9137, 7107, 6922, 6617, 6642, 5048, 3310, 2185, 1488, 1031, 474, 291, 445]"
1991,"[32, 4, 11, 8, 24, 16, 6, 8, 74, 162, 167, 115, 77, 135, 56, 19, 14]","[11725, 8720, 10880, 8952, 7328, 7150, 7842, 7507, 7794, 5711, 5057, 3878, 3065, 1690, 839, 463, 706]","[12171, 10797, 10477, 7853, 9137, 7107, 6922, 6617, 6642, 5048, 3310, 2185, 1488, 1031, 474, 291, 445]"
1992,"[32, 4, 11, 8, 24, 16, 6, 8, 74, 162, 167, 115, 77, 135, 56, 19, 14]","[11725, 8720, 10880, 8952, 7328, 7150, 7842, 7507, 7794, 5711, 5057, 3878, 3065, 1690, 839, 463, 706]","[12171, 10797, 10477, 7853, 9137, 7107, 6922, 6617, 6642, 5048, 3310, 2185, 1488, 1031, 474, 291, 445]"
1993,"[32, 4, 11, 8, 24, 16, 6, 8, 74, 162, 167, 115, 77, 135, 56, 19, 14]","[11725, 8720, 10880, 8952, 7328, 7150, 7842, 7507, 7794, 5711, 5057, 3878, 3065, 1690, 839, 463, 706]","[12171, 10797, 10477, 7853, 9137, 7107, 6922, 6617, 6642, 5048, 3310, 2185, 1488, 1031, 474, 291, 445]"
