year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2006,11,0,4021,3901,12429,11613,10218
2005,1,0,3791,3775,9855,11070,8036
2004,4,1,2455,1140,11110,7719,6643
2003,3,1,2072,341,12160,7496,4921
2002,0,2,1097,311,13106,9476,3828
2001,2,3,124,399,9676,8190,3065
2000,1,3,67,355,10741,7441,2775
1999,2,4,12,587,8447,5773,1987
1998,2,12,42,546,6437,6354,2409
1997,0,10,23,853,5454,4463,2045
1996,1,1,59,1563,4414,3706,1975
1995,0,3,120,1133,3376,2635,1764
1994,0,34,172,985,2581,2228,1166
1993,3,58,94,609,1447,1439,759
1992,3,48,44,559,952,701,725
1991,1,31,25,878,266,407,336
1990,3,50,36,1050,341,532,588
