year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000,,,,,,,,
2013,4,454,10686,21305,353,12100,4182,,79748,9895337.002,226973076,451464715,7410931,276630200,91159236,,,,4%,22%,10%,15%,0%,6%,5%
2012,2,689,11561,25895,335,17057,5074,,43790,14491048,244967418.1,549778681.9,7143352.001,395944141,110968380,,,,2%,32%,11%,18%,0%,9%,7%
2011,9,866,16136,26700,418,20408,4680,,184176,17995480,339541631.1,560725712.1,8942597.001,475608440,101766600,,,,8%,40%,15%,19%,0%,10%,6%
2010,13,81,17124,25863,3563,21286,5027,,304629,1628181,353596857,532819469.9,79153662.99,488322126,108558065,,,,14%,4%,16%,18%,2%,11%,6%
2009,12,4,10246,9736,9066,20675,3553,,301932,87996,198794279,191269982,203725448,473230075,75337812,,,,14%,0%,9%,6%,6%,10%,5%
2008,13,1,13519,12980,22657,24284,10278,,327756,25212,282185057,270101681,524382511.1,558216308,219003624,,,,15%,0%,13%,9%,16%,12%,13%
2007,23,2,7680,6637,16379,15162,11947,,479136,40730,165948044,143758403,370760785,346709454,251209569,,,,21%,0%,7%,5%,11%,8%,15%
2006,9,0,6306,5650,15467,16663,10066,,204021,0,135045474,119985898,342844245,371101673,209795572,,,,9%,0%,6%,4%,11%,8%,13%
2005,2,3,5972,5284,14256,16674,8040,,46180,69270,127912908,111780865,319047381,373714362,168076200,,,,2%,0%,6%,4%,10%,8%,10%
2004,2,2,3653,1648,16618,11208,6332,,46152,37728,76390055,34957410,368619987.9,249052968,131199040,,,,2%,0%,3%,1%,11%,5%,8%
2003,1,1,2593,549,15927,8227,4107,,23934,23934,52651335.99,11453798,352140677.9,182474860,83951187,,,,1%,0%,2%,0%,11%,4%,5%
2002,2,5,1323,400,14641,7817,2575,,49556,117690,22115166,6928517,260087482,139048796,42605950,,,,2%,0%,1%,0%,8%,3%,3%
2001,2,2,155,319,8934,5099,1680,,27172,27172,2588415,5222061.999,156417612,89650618,26770800,,,,1%,0%,0%,0%,5%,2%,2%
2000,3,2,71,227,6652,3351,1077,,38991,12997,1135830,3576131.001,109730280,55526070,16204542,,,,2%,0%,0%,0%,3%,1%,1%
1999,2,2,15,199,3808,1719,653,,24752,22652,204372,2862726.999,59152350.01,26804367,9296108,,,,1%,0%,0%,0%,2%,1%,1%
1998,1,4,10,140,2063,1298,663,,12189,42552,137335,1956852.001,31600934.01,19934684,9295923,,,,1%,0%,0%,0%,1%,0%,1%
1997,3,27,80,909,2632,1834,1279,,36015,324135,1009649,11987784,39611619,27741084,17661711,,,,2%,1%,0%,0%,1%,1%,1%
,,,,,,,,,2230129,44842114,2231196902,3010630689,3240771856,4549710226,1672860319,,,,1,1,1,1,1,1,1
,,,,,,,,,2.230129,44.842114,2231.196902,3010.630689,3240.771856,4549.710226,1672.860319,,,,,,,,,,
