year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,,,,,,,,,1000000,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2014,10,348,15598,27965,354,15011,5679,,223800,7910040,349156856,623602080.9,7792956,375920473,133195266,,,8%,15%,13%,16%,0%,7%,8%
2013,5,484,11262,23585,354,14104,4558,,99135,10498995,243352248,510386909.9,7830140.999,345449272,104309830,,,4%,19%,9%,13%,0%,7%,6%
2012,3,704,12094,27915,348,19065,5460,,66954,15069824,262196506,603925467.1,7593803.999,472678545,125285160,,,3%,28%,10%,15%,0%,9%,7%
2011,10,865,17176,30769,438,24338,5020,,206200,18247175,365875664,655442088.1,9732040.002,590731936,111860660,,,8%,34%,14%,17%,0%,11%,6%
2010,16,83,18252,29067,3938,24543,5466,,371504,1423201,358030494.1,570593903.9,89871692.98,582847164,118737918,,,14%,3%,13%,14%,3%,11%,7%
2009,16,3,10872,11123,9590,22299,3847,,431616,64803,223290658.9,229378537,224337000,531898047,85111028,,,16%,0%,8%,6%,7%,10%,5%
2008,14,1,14251,14056,23536,25677,10184,,292572,20898,306473418.1,299783303.9,538549519.9,586103202,217978336,,,11%,0%,11%,8%,18%,11%,12%
2007,24,2,7966,6739,16304,15339,11592,,497136,39866,176073152,148510914,373233159,350971659,248381784,,,19%,0%,7%,4%,12%,7%,14%
2006,9,0,6520,5595,15378,16549,9312,,203013,0,138845520,119176209,334798068,360155887,192441792,,,8%,0%,5%,3%,11%,7%,11%
2005,2,4,6114,5148,14093,16347,7323,,45274,91214,128816275,107930850,309207055,359094549,151190658,,,2%,0%,5%,3%,10%,7%,9%
2004,1,1,3565,1569,16013,10554,5479,,23084,20591,75108774.99,32643548.99,356975744.9,236124642,113459132,,,1%,0%,3%,1%,12%,5%,7%
2003,1,1,2514,519,15212,7472,3320,,18993,18993,40443999.99,10839496,271315744,131865856,54374960,,,1%,0%,2%,0%,9%,3%,3%
2002,2,6,1285,371,13443,6659,2110,,50082,25041,20151491,6220902.998,225957582,111897836,32802060,,,2%,0%,1%,0%,7%,2%,2%
2001,2,3,150,262,7851,4014,1291,,33634,46250.00001,2303620.001,4233967,126551849,64685610,19030631,,,1%,0%,0%,0%,4%,1%,1%
2000,2,4,68,179,5443,2589,763,,26052,82290,957661,2698029,85711823.01,40875132,11013142,,,1%,0%,0%,0%,3%,1%,1%
1999,2,1,12,150,2910,1298,508,,32562,11719,157904,2127450,41453642,18475732,6900672,,,1%,0%,0%,0%,1%,0%,0%
1998,3,21,69,825,3480,2354,1373,,48843,337338.9999,857419.9999,10345997,49304229.99,33506836,18650832,,,2%,1%,0%,0%,2%,1%,1%
,,,,,,,,,2670454,53908239,2692091663,3937839655,3060216051,5193282378,1744723861,,,1,1,1,1,1,1,1
,,,,,,,,,2.670454,53.908239,2692.091663,3937.839655,3060.216051,5193.282378,1744.723861,,,,,,,,,
