year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2016,3,142,27604,37002,14,24365,6036,,64551,3284905,668253628,889415262,340144,639240140,147501732,,,2%,5%,17%,14%,0%,10%,8%
2015,14,325,21430,37466,135,20469,6870,,366646,7653537,504548599,879280258,3144285,527527068,165127320,,,13%,11%,13%,14%,0%,8%,9%
2014,12,384,16581,31353,380,18618,6616,,314772,8985750,391091775,736976051,8958500,483211572,161119448,,,11%,13%,10%,11%,0%,7%,8%
2013,9,561,12525,29279,395,19050,5813,,149265,12865974,290984450,689927090,9438550,495585750,140337446,,,5%,18%,7%,11%,0%,8%,7%
2012,4,787,13553,35889,362,25638,6289,,86136,16851244,305895567,842988915,8653433,656896836,147275802,,,3%,24%,8%,13%,0%,10%,8%
2011,15,946,18603,37204,484,30462,5576,,285660,18735530,393628688,814207974,11259876,759783204,124684936,,,10%,27%,10%,13%,0%,11%,7%
2010,16,93,19468,32701,4123,27126,5832,,331472,1138506,396357986,668969844,96872119,639305568,130041936,,,12%,2%,10%,10%,4%,10%,7%
2009,22,2,11663,13106,9998,23860,4082,,515240,38218,242545211,275350946,226102454,547348400,90404054,,,19%,0%,6%,4%,9%,8%,5%
2008,12,1,15176,15468,24381,26597,9505,,235080,19590,317224484,324188652,541435500,592448175,204167400,,,9%,0%,8%,5%,21%,9%,11%
2007,7,2,8113,6515,15477,14487,9552,,156737,46812,169886239,135715247,339335949,320133726,199264272,,,6%,0%,4%,2%,13%,5%,10%
2006,9,0,6490,4938,14201,14791,7378,,195912,0,135454114,103427322,310287461,324307466,154192822,,,7%,0%,3%,2%,12%,5%,8%
2005,1,3,5666,4115,12557,13769,5324,,14888,41964,98954208,70908544,232929761,255951941,95390108,,,1%,0%,2%,1%,9%,4%,5%
2004,1,0,2931,1191,13516,7858,3672,,0,0,48223122,19355804,243625978,142151220,62600256,,,0%,0%,1%,0%,10%,2%,3%
2003,0,1,2037,386,11824,4732,2083,,0,0,32489039,6278692,207364106,83264272,33727936,,,0%,0%,1%,0%,8%,1%,2%
2002,2,4,927,261,9132,3747,1144,,27750,13875,14172000,4131376,152217840,62589888,17862416,,,1%,0%,0%,0%,6%,1%,1%
2001,1,1,127,127,4578,1879,621,,0,0,1780817,1916044,73558891,30263174,9086472,,,0%,0%,0%,0%,3%,0%,0%
2000,7,14,85,561,5576,2967,1345,,0,138665,1210893,7946686,87960796,47015082,19440630,,,0%,0%,0%,0%,3%,1%,1%
,,,,,,,,,2744109,69814570,4012700820,6470984707,2553485643,6607023482,1902224986,,,1,1,1,1,1,1,1
,,,,,,,,,2.744109,69.81457,4012.70082,6470.984707,2553.485643,6607.023482,1902.224986,,,,,,,,,
