year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2018,21,405,25151,48954,578,43361,12007,,521367,8623881.999,557697178.9,1085752986,13322818,1021801965,269305003,,,,0.16151384,0.108525536,0.119447879,0.136013475,0.007368577,0.137145298,0.136052695
2017,19,435,30954,56104,1179,45477,11344,,413326,9054318.001,666382738,1205108528,26432199,1046835063,247741616,,,,0.128043911,0.113942273,0.14272621,0.150965276,0.014619106,0.140505217,0.125158887
2016,13,328,33960,58037,1763,43488,10038,,264095,6871187.999,727655992.1,1241029860,39365382.99,998397504,219741858,,,,0.081813766,0.086469105,0.155849748,0.155465181,0.021772184,0.134003973,0.111013429
2015,19,374,24710,48685,1754,31665,8570,,453302,7767832.001,522788928.1,1035797196,39147778,730099905,186517480,,,,0.140428042,0.097752744,0.111971211,0.129755458,0.021651832,0.097993322,0.094228497
2014,20,424,20417,41916,2899,29075,7774,,453780,8726759.999,417435830.1,881273464.2,63994242.01,665643050,168882376,,,,0.140576121,0.109820184,0.089406629,0.1103981,0.0353939,0.089341984,0.085319256
2013,12,498,15717,33445,3828,24488,5695,,197208,10280712,322262727,709580115,84804783,558448840,122607655,,,,0.061092899,0.129375585,0.069022403,0.088889884,0.046903783,0.074954478,0.0619413
2012,11,684,14122,29743,4541,23543,5533,,200167,12464480,271152903,589806269.9,93238842.98,493296479,109005633,,,,0.062009565,0.156856782,0.058075673,0.073885683,0.051568488,0.066209789,0.055069568
2011,10,812,17429,27523,5272,23746,5007,,153000,14648480,322796073,522393392.1,106030882,485035796,96750261,,,,0.04739774,0.184340897,0.069136635,0.065440797,0.058643502,0.065101048,0.048878163
2010,5,74,15702,20358,6686,19754,4698,,81040,857364,278011745.9,364254315.9,132936040,394842952,88275420,,,,0.025105313,0.010789328,0.059544704,0.04563054,0.073524192,0.052995449,0.044596679
2009,5,3,9270,5396,10302,16353,3247,,121350,49653,172700631,101097246,207120999,329267655,61735211,,,,0.037592914,0.000624848,0.036989113,0.012664564,0.114554369,0.044193995,0.031188584
2008,10,0,10067,6582,15484,13702,7066,,173280,0,189304078,123182101,308398764,272889032,133971360,,,,0.053680264,0,0.040545248,0.015431158,0.170569019,0.036626909,0.067682235
2007,5,1,5518,3568,12968,8772,6963,,68240,13648,94739319.98,59384892.01,233930144,158466180,119589525,,,,0.021140012,0.000171751,0.020291318,0.007439211,0.129381956,0.021269182,0.060416542
2006,5,0,3501,2049,9429,6656,4390,,73255,0,56968167.01,32414998.99,161287991,114010624,73313000,,,,0.022693604,0,0.012201472,0.004060663,0.089205074,0.015302399,0.037037675
2005,0,2,2555,1307,5870,4964,2423,,0,23876,40342904,20071863,98203345.99,83221460,39044222,,,,0,0.000300463,0.008640665,0.002514424,0.054314253,0.011169906,0.019725113
2004,0,0,964,319,4619,2242,1356,,0,0,14642139,4764425.001,75859554.99,36923498,20993592,,,,0,0,0.003136061,0.000596845,0.041956361,0.004955837,0.010605948
2003,0,0,661,108,3134,1312,622,,0,0,9697621.002,1683867,50423900.99,21128448,9023976,,,,0,0,0.002077042,0.00021094,0.027888424,0.00283584,0.004558906
2002,4,8,302,332,4792,2621,909,,54592,81888,4379430,5091367.999,73560822.99,40198277,12918708,,,,0.016912009,0.001030503,0.000937989,0.000637801,0.04068498,0.005395375,0.006526522
,,,,,,,,,3228002,79464081,4668958406,7982686888,1808058491,7450506728,1979416896,,,,1,1,1,1,1,1,1
,,,,,,,,,3.228002,79.464081,4668.958406,7982.686888,1808.058491,7450.506728,1979.416896,,,,,,,,,,
