year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2002,16703.0,0.0,22652.527054108217,27209.0,28706.876422764228,29961.0,28240.981834425253
2001,16375.0,25433.0,24495.61,26549.310734463277,28140.500483909993,29373.0,27681.02842377261
2000,16054.0,24738.285714285714,23661.843137254902,25700.332268370606,27491.84376188665,28797.0,27149.82879377432
1999,15739.0,25514.833333333332,23528.0,25493.62328767123,26951.17575322812,28232.0,26686.2186774942
1998,0.0,24568.045454545456,21085.439024390245,24426.526315789473,26357.587094864586,27679.0,26222.699676075892
1997,0.0,24377.428571428572,21226.51724137931,24176.27670940171,25822.702117342815,27136.0,25726.130227001195
1996,14832.0,23035.0,22183.605633802817,24038.18133971292,25214.457585357268,26604.0,25231.43695525857
1995,14541.0,26743.666666666668,21823.477528089887,23492.55897703549,24661.479031960094,26082.0,24722.935828877005
1994,14256.0,16414.722222222223,20470.721739130433,23162.875610839626,24209.75144286264,25571.0,24213.64100609756
1993,13976.0,15761.101265822785,19750.551867219918,22432.717479674797,23810.635948644795,25070.0,23750.08585858586
1992,13702.0,15989.0,19748.0,20573.810567734683,23143.57461024499,24578.0,23326.67626613704
1991,13434.0,15961.345454545455,19909.89230769231,19198.095512556607,22367.4126984127,24096.0,22851.365853658535
1990,13170.0,15114.768115942028,19329.00900900901,18892.169448659584,22024.261444557476,23624.0,22398.1875
1989,0.0,14790.09756097561,18900.169230769232,18485.449572649573,21685.40256959315,23160.0,21977.83846153846
1988,0.0,14229.363636363636,19066.809523809523,18169.558260869566,21530.631147540982,22811.0,21642.36170212766
1987,0.0,14122.5,18838.090909090908,17772.365384615383,21205.303370786518,22466.0,21300.924812030076
1986,12336.0,15215.6,18051.88888888889,17242.15625,20795.560975609755,22127.0,20936.147959183672
