year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,1000000
2014,22380,22730,22384.71958,22299.37711,22014,25043,23454,,223800,7910040,349156856,623602081,7792956,375920473,133195266,
2013,19827,21692.13843,21608.26212,21640.31842,22119.04237,24493,22885,,99135,10498995,243352248,510386910,7830141,345449272,104309830,
2012,22318,21406,21679.88308,21634.44267,21821.27586,24793,22946,,66954,15069824,262196506,603925467,7593804,472678545,125285160,
2011,20620,21095,21301.56404,21302.02763,22219.26941,24272,22283,,206200,18247175,365875664,655442088,9732040,590731936,111860660,
2010,23219,17147,19615.95957,19630.2991,22821.65896,23748,21723,,371504,1423201,358030494,570593904,89871693,582847164,118737918,
2009,26976,21601,20538.14008,20622.00279,23392.80501,23853,22124,,431616,64803,223290659,229378537,224337000,531898047,85111028,
2008,20898,20898,21505.39738,21327.78201,22881.94765,22826,21404,,292572,20898,306473418,299783304,538549520,586103202,217978336,
2007,20714,19933,22103.0821,22037.5299,22892.12212,22881,21427,,497136,39866,176073152,148510914,373233159,350971659,248381784,
2006,22557,0,21295.32515,21300.48418,21771.23605,21763,20666,,203013,0,138845520,119176209,334798068,360155887,192441792,
2005,22637,22803.5,21069.0669,20965.58858,21940.4708,21967,20646,,45274,91214,128816275,107930850,309207055,359094549,151190658,
2004,23084,20591,21068.38008,20805.32122,22292.8711,22373,20708,,23084,20591,75108775,32643549,356975745,236124642,113459132,
2003,18993,18993,16087.50994,20885.34875,17835.63923,17648,16378,,18993,18993,40444000,10839496,271315744,131865856,54374960,
2002,25041,4173.5,15682.09416,16767.93261,16808.56818,16804,15546,,50082,25041,20151491,6220903,225957582,111897836,32802060,
2001,16817,15416.66667,15357.46667,16160.17939,16119.20125,16115,14741,,33634,46250,2303620,4233967,126551849,64685610,19030631,
2000,13026,20572.5,14083.25,15072.78771,15747.16572,15788,14434,,26052,82290,957661,2698029,85711823,40875132,11013142,
1999,16281,11719,13158.66667,14183,14245.2378,14234,13584,,32562,11719,157904,2127450,41453642,18475732,6900672,
1998,16281,16063.7619,12426.37681,12540.60242,14167.88218,14234,13584,,48843,337339,857420,10345997,49304230,33506836,18650832,
,,,,,,,,,2670454,53908239,2692091663,3937839655,3060216051,5193282378,1744723861,
,,,,,,,,,2.670454,53.908239,2692.091663,3937.839655,3060.216051,5193.282378,1744.723861,
