year,<1300cc,1300cc - 1900cc,>1900cc
2015,23995.37955346651,23999.820593405424,26244.997490739635
2014,23304.928515928517,23057.067872397223,25621.253099081423
2013,23343.967325227964,23438.15736996621,26061.974926253686
2012,22845.870381586916,23334.027157430384,25906.715688056716
2011,20082.51942330797,21561.531980548014,24770.0256810741
2010,20653.801831806828,21238.63845393737,24692.96772365148
2009,20920.656692913384,21375.115699357924,23017.266450040617
2008,21711.957679180887,22089.62675320064,22543.50090025207
2007,21398.136814621408,21797.675766860604,21872.886667187377
2006,20742.428860418073,21367.42939312126,21384.98524529694
2005,20605.13844252163,21049.094658553076,21184.403396639882
2004,17398.58823529412,17923.10545602606,18043.988918880525
2003,16376.292682926829,17462.322833702616,17350.308873334838
2002,9668.25,16832.52254221954,16721.27987376273
2001,10176.75,16288.028996065861,16020.708821233411
2000,18722.0,15831.653619909503,15632.896881496881
1999,12748.176470588236,14170.664920486435,14061.208050314466
