year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000
2018,24827,21293.5358,22173.95646,22179.04535,23049.85813,23565,22429,,521367,8623882,557697179,1085752986,13322818,1021801965,269305003,,
2017,21754,20814.52414,21528.16237,21479.90389,22419.16794,23019,21839,,413326,9054318,666382738,1205108528,26432199,1046835063,247741616,,
2016,20315,20948.7439,21426.85489,21383.4254,22328.63471,22958,21891,,264095,6871188,727655992,1241029860,39365383,998397504,219741858,,
2015,23858,20769.60428,21156.97807,21275.48929,22319.14367,23057,21764,,453302,7767832,522788928,1035797196,39147778,730099905,186517480,,
2014,22689,20581.98113,20445.50277,21024.75103,22074.59193,22894,21724,,453780,8726760,417435830,881273464,63994242,665643050,168882376,,
2013,16434,20644,20504.08647,21216.32875,22153.80956,22805,21529,,197208,10280712,322262727,709580115,84804783,558448840,122607655,,
2012,18197,18222.92398,19200.74373,19830.08674,20532.66747,20953,19701,,200167,12464480,271152903,589806270,93238843,493296479,109005633,,
2011,15300,18040,18520.63073,18980.24896,20112.07929,20426,19323,,153000,14648480,322796073,522393392,106030882,485035796,96750261,,
2010,16208,11586,17705.49904,17892.4411,19882.74604,19988,18790,,81040,857364,278011746,364254316,132936040,394842952,88275420,,
2009,24270,16551,18630.05728,18735.59044,20104.93098,20135,19013,,121350,49653,172700631,101097246,207120999,329267655,61735211,,
2008,17328,0,18804.4182,18714.99559,19917.2542,19916,18960,,173280,0,189304078,123182101,308398764,272889032,133971360,,
2007,13648,13648,17169.14099,16643.74776,18039.03023,18065,17175,,68240,13648,94739320,59384892,233930144,158466180,119589525,,
2006,14651,0,16271.97001,15819.91166,17105.52455,17129,16700,,73255,0,56968167,32414999,161287991,114010624,73313000,,
2005,0,11938,15789.7863,15357.20199,16729.70119,16765,16114,,0,23876,40342904,20071863,98203346,83221460,39044222,,
2004,0,0,15188.94087,14935.50157,16423.37194,16469,15482,,0,0,14642139,4764425,75859555,36923498,20993592,,
2003,0,0,14671.13616,15591.36111,16089.3111,16104,14508,,0,0,9697621,1683867,50423901,21128448,9023976,,
2002,13648,10236,14501.42384,15335.44578,15350.75605,15337,14212,,54592,81888,4379430,5091368,73560823,40198277,12918708,,
,,,,,,,,,3228002,79464081,4668958406,7982686888,1808058491,7450506728,1979416896,,
,,,,,,,,,3.228002,79.464081,4668.958406,7982.686888,1808.058491,7450.506728,1979.416896,,
