year,<1300cc,1300cc - 1900cc,>1900cc
2010,0.0,17745.052064631956,17753.0
2009,0.0,17500.703608247422,17533.0
2008,0.0,17518.309859154928,17520.0
2007,0.0,17413.636363636364,17573.434579439254
2006,0.0,16879.90692124105,18273.305755395682
2005,0.0,18510.712990936558,17139.0
2004,0.0,17049.303030303032,0.0
2003,0.0,12280.0,17777.0
2002,0.0,9895.333333333334,21968.0
2001,12158.0,7615.0,21968.0
2000,12158.0,7615.0,0.0
1999,0.0,14972.0,0.0
1998,0.0,14972.0,0.0
1997,0.0,0.0,0.0
1996,0.0,0.0,0.0
1995,0.0,0.0,0.0
1994,0.0,0.0,0.0
