year,emission,consumption
2001,4184.606443399349,59803823724.64334
2002,4325.510237981127,61817534167.25706
2003,4443.409571248755,63502478985.690834
2004,4553.9961840797305,65082914897.526924
2005,4704.40073197322,67232404267.97774
2006,4809.566516184598,68735369028.44206
2007,4864.983065618042,69527348297.83627
2008,3823.5414675555953,54643704974.990616
2009,3699.341619883146,52868717076.53564
2010,3620.411841585821,51740701189.793396
2011,3709.9984649057005,53021018156.65155
2012,3734.9402560562803,53377470908.30732
2013,3871.328819411755,55326652440.97785
2014,4021.897326717062,57478485018.5845
2015,4090.7208601366538,58462068664.12049
2016,4094.6033753011807,58517555184.93152
2017,4124.728526911162,58948085338.94475
2018,4110.458375862632,58744145109.58898
