year,emission,emission with biofuel,consumption in MJ,consumption in liters
2001,3882.0048580672124,3882.0048580672124,55479227824.70016,1643415534.71334
2002,4025.550285506375,4025.550285506375,57530690860.750084,1704184336.9213922
2003,4132.756827122479,4132.756827122479,59062820871.93697,1749569364.0804045
2004,4256.298436047269,4256.298436047269,60828401626.71762,1801869710.6058774
2005,4353.1089024228295,4353.1089024228295,62211957319.26233,1842853642.9247172
2006,4521.293096678339,4521.293096678339,64615542469.400665,1914053068.9013176
2007,4691.416628490991,4691.416628490991,67046843440.12534,1986073497.8351476
2008,4191.513163387715,4191.513163387715,59902530322.33338,1774443386.4764535
2009,4282.550782225199,4282.550782225199,61203584025.44939,1812983430.2195506
2010,3959.262285977866,3887.995564830265,56583343507.424835,1676121845.4580357
2011,3840.425534883691,3709.8510666976454,54885001689.48511,1625813262.6552148
2012,3292.4752264732633,3173.9461183202257,47054032613.3535,1393842906.6106293
2013,3700.669598149984,3556.343483822134,52887695725.84338,1566648710.8594337
2014,3613.0634998562723,3472.154023361878,51635683205.56798,1529561373.7397182
2015,3820.261352071465,3644.529329876177,54596827580.2194,1617276918.0369036
2016,4109.673111407432,3891.8604365028373,58732922592.56352,1739797058.6887255
2017,4057.4234091196363,3838.3225450271757,57986201956.45376,1717677567.4558742
2018,3733.1643789794484,3527.840338135579,53352091164.4542,1580405114.9765685
