year,emission,consumption in MJ,consumption in liters
2001,3766.145799059415,53823441352.17903,1594367533.9064884
2002,3892.9592141830162,55635780750.53136,1648052973.271944
2003,3999.3434603502897,57156159020.488464,1693089888.2662017
2004,4099.108211462663,58581935534.99634,1735324493.2678332
2005,4235.858808948783,60536291036.98144,1793216758.8643062
2006,4332.862314347408,61922605524.61557,1834282412.7009983
2007,4385.617330509935,62676547796.092766,1856615824.4986122
2008,4294.06723963158,61368170157.49782,1817858829.8386905
2009,4088.2753284947903,58427118628.74653,1730738479.3894289
2010,3910.3942095945818,55884950990.63314,1655433938.3543246
2011,3876.4712645403715,55400145106.57135,1641072932.398996
2012,3781.9201916160023,54048879276.76701,1601045496.1260061
2013,3748.1343237409305,53566032415.51151,1586742520.6919918
2014,3672.7369582756387,52488499602.192505,1554823652.4235427
2015,3541.7248710069516,50616155361.7508,1499360738.974286
2016,3360.8914800499515,48031795665.660286,1422806377.3082922
2017,3117.303736775318,44550589330.65162,1319685465.3054645
2018,2926.2844449354093,41820658998.67992,1238818984.4232256
