year,emission,consumption
2001,4184.606443399349,59803823724.64334
2002,4325.510237981127,61817534167.25706
2003,4443.409571248755,63502478985.690834
2004,4553.9961840797305,65082914897.526924
2005,4704.40073197322,67232404267.97774
2006,4809.566516184598,68735369028.44206
2007,4864.983065618042,69527348297.83627
2008,3731.3711012370823,53326462740.98253
2009,3520.475524742997,50312472763.29805
2010,3360.623655501831,48027968081.80465
2011,3353.0551007175923,47919802947.929054
2012,3283.0251442335334,46918977845.33829
2013,3304.3427832939415,47223636442.46996
2014,3326.048350135836,47533839065.061554
2015,3284.8998153018324,46945769492.2056
2016,3197.4700641775808,45696277217.30564
2017,3113.336709364319,44493895012.74932
2018,2997.188465102761,42833975682.294334
