year,emission,consumption
2001,4769.093970737785,65057742685.32035
2002,4929.678591127598,67248362743.68831
2003,5064.0455876530505,69081334276.43427
2004,5190.07845493223,70800615527.68484
2005,5361.490852306371,73138943040.1779
2006,5481.345733331446,74773947101.149
2007,5544.502624034756,75635503776.14677
2008,4395.030681612718,59954946774.5577
2009,4289.632335126817,58517151975.96264
2010,4234.307414978648,57762435369.16685
2011,4368.977814618719,59599545784.870735
2012,4428.553037911241,60412243033.271935
2013,4610.784737850181,62898162395.83421
2014,4818.1637523062045,65727129626.00352
2015,4923.12488932659,67158960218.17251
2016,4950.165680697676,67527838008.7595
2017,5018.640996285957,68461946141.07406
2018,5026.543670537748,68569750715.937454
