year,emission,consumption
2001,4769.093970737785,65057742685.32035
2002,4929.678591127598,67248362743.68831
2003,5064.0455876530505,69081334276.43427
2004,5190.07845493223,70800615527.68484
2005,5361.490852306371,73138943040.1779
2006,5481.345733331446,74773947101.149
2007,5544.502624034756,75635503776.14677
2008,5348.489976840294,72961591196.00258
2009,4981.049518756715,67949140839.42464
2010,4549.169636414621,62057638086.74744
2011,4258.561975009888,58093304698.8844
2012,3948.986475946948,53870220967.82501
2013,3752.7605272451624,51193398628.58124
2014,3531.685625920608,48177598534.72597
2015,3252.0041363082923,44362314856.801285
2016,2890.8414719822485,39435503217.6434
2017,2577.9128486097898,35166677737.76145
2018,2290.8007746514063,31250029514.001766
