year,<1300cc,1300cc - 1900cc,>1900cc
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
2001,5815,1709,1200
2001,4893,1609,611
2001,7184,2461,966
2001,12870,4850,1593
2001,20045,10288,2954
2001,27660,17554,4132
2001,24909,21022,4232
2001,22445,27100,5353
2001,18643,31376,5472
2001,21527,38261,6670
2001,24212,39865,7369
2001,33026,51986,6525
2001,42448,61068,7879
2001,36899,67883,10205
2001,52651,79193,9949
2001,74438,103847,12732
2001,39596,75486,12647
