year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2006,93,17796,54147,28660,9169,6887,3365
2005,151,18673,55007,28031,12651,6215,3457
2004,154,21073,48855,24283,13011,5860,3783
2003,128,21877,48495,19498,12245,6503,3213
2002,265,22502,53010,20656,9407,10044,3520
2001,657,26737,58091,20346,11624,9884,3557
2000,1998,43932,90649,24794,11510,9790,3161
1999,1656,29476,67092,20272,8199,7557,2470
1998,664,17877,54105,19213,7084,6811,3058
1997,1191,22683,48543,13170,5109,5002,2323
1996,722,18218,36556,8898,4234,4151,1651
1995,325,11856,23160,6218,2563,4088,1256
1994,211,8373,16847,5127,1982,3086,964
1993,220,5492,11143,3598,1189,2031,615
1992,144,5260,6946,2634,957,1686,550
1991,96,3596,3886,1781,647,985,382
1990,273,6722,4973,3168,1056,2018,1229
