year,<1300cc,1300cc - 1900cc,>1900cc
2008,14818.560315326326,16568.452879031694,17482.5696455317
2007,14487.690043136034,16484.084101952525,17436.37470418091
2006,14218.920751151529,16488.552866769274,17391.573431317127
2005,14074.479988494411,16570.365433665687,17161.972972972973
2004,13905.454314436265,16518.376361501396,17433.665204678364
2003,13878.04091334976,16321.820584672418,17064.842834310068
2002,12733.807612113189,15389.10679254363,16063.013182096873
2001,12463.814933233027,15167.748182579791,15675.275948597066
2000,12256.407807501506,14798.442413602115,15547.469066455697
1999,11696.349574944072,13476.866252547801,13967.585137157108
1998,11741.753723668933,13456.603436803407,13834.761904761905
1997,11514.93475880724,13257.739237316146,13725.505293276108
1996,11368.500247451251,13121.160270301094,13625.058447488584
1995,11260.140385271054,13125.990656838349,13528.139808981914
1994,11143.918454935621,13018.048176998102,13422.938461538462
1993,11044.387941787942,12970.765432098766,13314.458808063102
1992,10907.366109494485,13221.335311973018,13181.210332103321
