year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,1000000,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2013,101,10348,5966,1145,48,104,17,,1313606,137359215,83597102,17215927,731904,1533792,230928,,,4%,4%,1%,1%,0%,0%,0%
2012,19,8418,7626,1338,108,64,43,,237899,108158056,107848308,20512141,1720548,961344,593400,,,1%,3%,1%,1%,0%,0%,0%
2011,23,10294,10211,2054,98,165,60,,278852,128392266,142035576,31009348,1531935,2499090,824760,,,1%,4%,2%,1%,0%,0%,0%
2010,3,9153,15770,1833,626,359,111,,36324,112227394,219144917,28129633,9865949,5501316,1593405,,,0%,4%,3%,1%,1%,1%,0%
2009,8,4404,13348,3761,1190,664,155,,94120,52966487,181678824,56957173,18881254,9983240,2134660,,,0%,2%,2%,2%,1%,1%,1%
2008,31,11252,45800,20846,6469,3524,1328,,365614,138004450,651522560,320094562,100519238,51760512,18801824,,,1%,4%,8%,10%,8%,6%,6%
2007,51,14523,59406,30433,8422,6033,2659,,610776,182511554,863578912,480085215,133519302,92347131,39592510,,,2%,6%,11%,14%,10%,10%,12%
2006,63,18527,55968,28634,9117,6629,2935,,758268,232745442,834275850,457343291,147442003,102928483,43038840,,,2%,8%,10%,14%,11%,12%,13%
2005,149,18730,54155,27473,11668,5848,2857,,1946387,255599200,846716690,452647120,189716490,92053368,44100652,,,6%,8%,11%,14%,14%,10%,13%
2004,175,20669,47451,23012,11905,5608,3102,,1997100,250286914,695784488,362600932,192700291,86396848,47358234,,,6%,8%,9%,11%,15%,10%,14%
2003,151,20720,44765,17318,10274,5851,2351,,1783310,257843741,664272375,278221510,161665984,87566066,35102781,,,5%,8%,8%,8%,12%,10%,10%
2002,191,20020,43908,16200,6605,7520,2102,,2357704,252251620,613443201,233170564,93251951,105490560,28377000,,,7%,8%,8%,7%,7%,12%,8%
2001,318,21134,39240,12847,6571,6174,1667,,3794376,254591794,533912394,185399975,90964667,85750686,22421150,,,11%,8%,7%,6%,7%,10%,7%
2000,635,28639,47515,12346,5686,4602,1204,,7585710,342716634,619316204,169697871,74242410,60240180,15513540,,,22%,11%,8%,5%,6%,7%,5%
1999,386,15132,27144,7345,3278,2727,681,,4755520,185574795,356214689,99238344,42623612,35175573,8219670,,,14%,6%,4%,3%,3%,4%,2%
1998,97,6100,16886,4317,1891,1808,756,,1185631,74248908,219974030,57849045,24421895,23136976,9053100,,,3%,2%,3%,2%,2%,3%,3%
1997,402,11147,24753,5661,2473,3273,1553,,4874652,134115387,320098857,75282951,31712788,41554008,18449640,,,14%,4%,4%,2%,2%,5%,6%
,,,,,,,,,33975849,3099593857,7953414977,3325455602,1315512221,884879173,335406094,,,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,33.975849,3099.593857,7953.414977,3325.455602,1315.512221,884.879173,335.406094,,,#DIV/0!,,,,,,
