year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2014,222,13881,7101,935,53,248,46,,2837382,182669013,96587342,14608440,828814,3709336,618286,,,9%,6%,1%,0%,0%,0%,0%
2013,113,10896,6378,1220,54,102,29,,1391821,137546943,85231019.99,19326124.01,840402,1496442,392718,,,4%,5%,1%,1%,0%,0%,0%
2012,25,8414,7913,1380,129,74,52,,305700,103429950,107319484,21979090,2032653,1104228,667160,,,1%,3%,1%,1%,0%,0%,0%
2011,24,10620,10663,2151,110,188,63,,277896,125896400,139766518,32544410,1658623,2678812,780381,,,1%,4%,2%,1%,0%,0%,0%
2010,1,9233,16148,1942,634,382,113,,10518,98728294.03,194835432,29622648,9474021.001,5527158,1511036,,,0%,3%,3%,1%,1%,1%,1%
2009,9,4503,13620,3807,1192,680,140,,108117,55520229.01,187825700,59734899.01,18555364,10010960,1813280,,,0%,2%,3%,2%,2%,1%,1%
2008,31,11375,45689,20675,6386,3522,1252,,358732,138877816,651890875.9,317114638,98342068.98,51502206,18160260,,,1%,5%,9%,11%,9%,7%,6%
2007,49,14598,59308,30123,8278,5969,2551,,574084,179526930,856987029.1,472292199,128812507,90364691,37502251,,,2%,6%,12%,16%,11%,12%,13%
2006,69,18502,55471,28174,8877,6463,2770,,786117,221469683,782525875.1,426407850.1,134143455,95361565,39273060,,,3%,7%,11%,14%,12%,13%,14%
2005,148,18515,53450,26878,11268,5677,2621,,1692824,224220144,772760324,412818992.9,170661778,84082047,38450070,,,5%,7%,11%,14%,15%,11%,14%
2004,176,20398,45911,21903,11124,5205,2704,,2122384,256753822.1,690190546.8,350384824.1,171349438,79464735,39597376,,,7%,9%,10%,12%,15%,10%,14%
2003,141,20139,42735,16180,9328,5179,2052,,1732890,252559396,585943106.8,231634900.1,129137648,71371799,26702676,,,6%,8%,8%,8%,11%,9%,10%
2002,176,19095,40778,14434,5433,6460,1751,,2025232,224379488.9,532420641.8,194101934,71668266.02,84638920,21876994,,,6%,7%,7%,6%,6%,11%,8%
2001,267,19709,34654,10922,5374,5099,1292,,3116691,230896142.9,442831966.1,145798264,68908453.99,65695516,16460080,,,10%,8%,6%,5%,6%,9%,6%
2000,501,26043,40256,9964,4441,3717,940,,5667813,293141193,493184099.1,128082740,55055786.01,45269343,11272480,,,18%,10%,7%,4%,5%,6%,4%
1999,303,13055,22172,5697,2481,2159,548,,3361785,144086825.1,256792019.9,68337851,28184069.99,24569420,5914564,,,11%,5%,4%,2%,3%,3%,2%
1998,439,13602,33303,7429,3309,3915,1841,,4870705,149712390.1,386091475.1,89101127.02,37578000.01,44552700,19869913,,,16%,5%,5%,3%,3%,6%,7%
,,,,,,,,,31240691,3019414660,7263183456,3013890931,1127231348,761399878,280862585,,,1,1,1,1,1,1,1
,,,,,,,,,31.240691,3019.41466,7263.183456,3013.890931,1127.231348,761.399878,280.862585,,,,,,,,,
