year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,1000000,,,,,,,
2015,216,19690,9974,1266,42,378,92,,,2880360,272912282,142532632,20143326,717696,5845014,1278984,,0.095943583,0.084130256,0.020196611,0.007090427,0.000703551,0.00843332,0.004980943
2014,221,14172,7288,991,57,256,60,,,2918747,192523158.1,102578723,15908975,997215,3914752,861300,,0.097222237,0.059348823,0.014535216,0.00559994,0.000977562,0.005648294,0.003354292
2013,110,10936,6587,1345,56,114,41,,,1425050,147178776,94893836.02,22821563,1038520,1943358,595279,,0.047467817,0.045370578,0.013446281,0.008033163,0.001018053,0.002803921,0.002318286
2012,28,8597,8324,1480,143,89,59,,,356748,113607292,117562230,23601371,2464891,1331707,778446,,0.011883126,0.035021548,0.016658351,0.008307655,0.002416312,0.001921417,0.003031621
2011,23,10739,10972,2224,136,193,68,,,234991,125220023,130661696,31435526.01,2056643,2850224,993684,,0.007827452,0.038601387,0.018514521,0.011065268,0.00201611,0.004112368,0.003869855
2010,3,9321,16473,1989,651,403,111,,,34956,109842840,218324909,33319120,10705947,5943041,1569207,,0.00116437,0.033861086,0.030936236,0.011728291,0.010494951,0.008574755,0.006111202
2009,7,4626,13979,3806,1158,683,142,,,82915,57436518,190551524,59966286,18071093,10211533,2064964,,0.002761864,0.017705868,0.027000799,0.021108062,0.017714943,0.014733433,0.008041905
2008,29,11422,45936,20476,6380,3499,1177,,,346666,145587370,678074128.2,324548510.1,102205197,53251281,18462422,,0.011547299,0.044879998,0.096081852,0.11424069,0.100190911,0.076832166,0.071901029
2007,48,14631,58994,29744,8177,5828,2419,,,570384,184531401,859282404.1,468342527.9,127830418,88550632,37509014,,0.018999252,0.056885216,0.12175873,0.164856014,0.125311104,0.127762876,0.146077081
2006,65,18371,54802,27493,8567,6261,2548,,,790335,235043694.9,806509014.8,433550448.9,135432687,96012435,39593372,,0.026325727,0.072456564,0.114280838,0.152609244,0.132763545,0.138528936,0.154194515
2005,145,18118,51950,25696,10607,5369,2353,,,1706505,225436663,750046948,392070074,159760150.1,79386034,34958521,,0.056842965,0.069495019,0.106280267,0.138008201,0.156611557,0.114539985,0.136144307
2004,153,19797,43995,20541,10172,4763,2390,,,1907604,251450572,623619215.1,300127448.9,145141600,67525051,33531700,,0.063541489,0.077514287,0.088365691,0.105644506,0.142281113,0.097426687,0.13058762
2003,125,19169,40117,14408,7955,4522,1724,,,1511625,236813070.9,548574048.2,205786555,109042135,62096104,22637844,,0.050351594,0.073002007,0.07773193,0.072436623,0.106893105,0.089593678,0.088162013
2002,146,17740,36408,12259,4305,5412,1411,,,1726742,214515727,485404941.2,167962165.1,57840078.01,72077016,17820930,,0.057517051,0.066128438,0.068780984,0.059122483,0.056700151,0.103994366,0.069402769
2001,207,17805,29196,8718,4078,4083,1041,,,2465577,214453720,380534496.1,118438265,52827398.02,52887099,13146789,,0.082127335,0.066109324,0.053921035,0.041690129,0.051786262,0.076306715,0.051199548
2000,368,22797,32478,7701,3367,2923,767,,,4345712,270097604.9,412286407.8,101145768,42236418,36566730,9398818,,0.144753843,0.08326258,0.058420223,0.03560319,0.041404012,0.052759314,0.036603252
1999,569,20988,42667,9901,4381,4541,1941,,,6716476,247274775,515817838,121750738,51736391.98,52693764,21574215,,0.223722996,0.076227021,0.073090435,0.042856115,0.050716758,0.076027767,0.08401976
,,,,,,,,,,30021393,3243925488,7057254991,2840918668,1020104478,693085775,256775489,,1,1,1,1,1,1,
,,,,,,,,,,30.021393,3243.925488,7057.254991,2840.918668,1020.104478,693.085775,256.775489,,,,,,,,
