year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2016,258,23277,11650,1831,106,511,157,,3465198,327356725,166577378,27559945.99,1655296,8147895,2222021,,0.120683689,0.096342761,0.02521959,0.01068075,0.00188177,0.013404951,0.010132967
2015,224,20132,10316,1284,46,390,98,,2959040,280330820.1,145908388,19314964,680570,6180720,1366806,,0.103055543,0.082502797,0.022090333,0.007485439,0.000773684,0.010168546,0.006232975
2014,231,14541,7627,1089,75,280,82,,3042501,201649463,109076383,17117257,1205475,4642120,1181292,,0.105962269,0.05934647,0.016514017,0.006633726,0.001370405,0.007637235,0.005386985
2013,121,11325,7078,1545,82,132,55,,1531376,152803203,98318792.98,24041063.99,1468128,2137212,763840,,0.053333779,0.044970766,0.014885332,0.009317021,0.001668994,0.00351615,0.0034833
2012,39,8789,8740,1593,155,97,75,,505986,122137326,121007680,23872398.01,2299580,1423184,1086675,,0.017622155,0.035945641,0.018320399,0.009251655,0.002614203,0.002341428,0.004955508
2011,34,10891,11394,2322,151,211,75,,345338,127299065,134978748,31863267,2165642,3073426,1062975,,0.01202721,0.037464767,0.0204356,0.012348485,0.00246194,0.005056413,0.00484743
2010,3,9594,17116,2073,670,421,112,,34599,111704060,221827412,33975867.01,10383694,6257323,1531936,,0.001204992,0.032875077,0.03358437,0.013167215,0.011804366,0.010294574,0.006986009
2009,12,4852,14838,3825,1172,704,131,,145560,61232407.98,203499366,59228164,18419433,10437504,1815005,,0.00506947,0.018021011,0.030809529,0.022953645,0.020939536,0.017171825,0.008276873
2008,26,11631,46092,20148,6337,3430,1131,,310544,147374888,673944328.8,317066436,99026994.02,52108560,17048694,,0.010815427,0.043373185,0.10203426,0.122877866,0.11257563,0.085729219,0.077746278
2007,48,14630,58196,29054,8030,5661,2190,,558720,179919960,832442380.1,448141590.9,121553132,83924325,31724340,,0.019458741,0.052951366,0.126030651,0.173675533,0.13818374,0.138072648,0.144670868
2006,69,18096,53482,26414,8061,5924,2294,,904038,247983872,826096560.2,431354432.9,130547385,94387092,37015984,,0.031485254,0.072982924,0.125069902,0.167169735,0.148408565,0.155286036,0.168802078
2005,132,17722,49349,24007,9655,4921,2051,,1704780,232512475,709160052.2,355668885,138594522,69297522,29056517,,0.059372982,0.068429613,0.107365873,0.137838095,0.157556692,0.114008571,0.132504932
2004,144,18807,40610,18303,8715,4056,2000,,1745280,231901533.1,562293991.9,261109824,121243980,56609592,27082000,,0.06078349,0.068249809,0.08513055,0.101192098,0.13783229,0.093134336,0.123500645
2003,110,17554,35126,11948,6389,3643,1348,,1330340,217076550.9,475834734.1,168638922.1,87002625.02,48950991,17366284,,0.046332227,0.063886741,0.072040735,0.065355359,0.098906115,0.080534374,0.079194567
2002,110,15474,29637,9286,3160,4134,1059,,1312630,188008059.1,396353374.9,127392162,41742532.01,54213276,13682280,,0.045715434,0.055331735,0.060007365,0.049370338,0.047453645,0.089191907,0.062394594
2001,123,14678,21439,6203,2829,3006,790,,1481535,178735371.1,276118051,83019971,36621513.01,38476800,9987970,,0.051597949,0.052602736,0.0418039,0.032174067,0.041631981,0.063302191,0.045547623
2000,607,32218,51488,11648,5142,5466,2143,,7335595,389808370.1,651641176,150972928.1,65038090.03,67559760,25291686,,0.255479388,0.114722601,0.098657593,0.058508972,0.073936445,0.111149598,0.115336368
,,,,,,,,,28713060,3397834149,6605078797,2580338079,879648591.1,607827302,219286305,,1,1,1,1,1,1,1
,,,,,,,,,28.71306,3397.834149,6605.078797,2580.338079,879.6485911,607.827302,219.286305,,,,,,,,
