year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,1000000,,,,,,,
2017,746,27964,17816,3302,534,1362,433,,10441016,403195635.9,256257983,49097139.99,8315985.001,20698314,5933832,,,0.297103291,0.11324529,0.042578066,0.021941167,0.011510674,0.039986473,0.039986473
2016,351,26822,17409,3181,605,975,381,,4788342,375752498.1,246370116,46655983.99,9167129.999,14673750,5210175,,,0.136254189,0.105537354,0.040935166,0.020850232,0.012688797,0.028347792,0.028347792
2015,240,21826,13863,2242,410,675,234,,3271440,306335582.1,197535792.1,33192718.01,6202312.999,10228950,3038256,,,0.093090135,0.086040271,0.03282119,0.014833593,0.008585009,0.019761012,0.019761012
2014,250,16055,10550,1978,309,497,170,,3337250,221927938.9,147823620,29771876,4678546.999,7494263,2365380,,,0.094962785,0.062332752,0.024561357,0.013304843,0.006475869,0.014477949,0.014477949
2013,134,11905,8616,2087,266,285,102,,1764378,161463921,115115717,30057459,4228328.999,4392990,1410456,,,0.050206083,0.045350264,0.019126837,0.013432468,0.005852694,0.00848669,0.00848669
2012,38,8970,9383,2007,322,265,138,,495330,123835069,128045429,28434140.99,4802209.999,3662300,1918614,,,0.014094814,0.034781473,0.021275149,0.012707018,0.006647039,0.007075091,0.007075091
2011,44,11011,11426,2711,342,368,121,,432124,116497373,129313990,35917945.01,4583826,5011792,1564893,,,0.012296261,0.03272054,0.021485924,0.016051478,0.00634476,0.009682136,0.009682136
2010,23,9662,16658,2493,869,624,178,,267375,111323494,212051836,39416886,13271072,8719776,2448924,,,0.007608263,0.031267356,0.035233076,0.01761513,0.01836932,0.016845482,0.016845482
2009,32,4932,13810,4579,1562,1004,253,,374624,60353684.02,180657692,67361419.99,22430971.99,13792952,3256110,,,0.010660076,0.016951499,0.030016841,0.030103346,0.03104811,0.026646204,0.026646204
2008,45,11666,45941,21059,7046,4054,1401,,519435,142044318,644617175,316592045,103113670,57384370,19221720,,,0.014780731,0.039895893,0.107105161,0.141482764,0.142726073,0.110859201,0.110859201
2007,55,14612,57187,28439,8305,6022,2178,,625570,172466354.1,784599678.8,418487810.9,118661323,83236084,28592784,,,0.017800845,0.04844051,0.130363692,0.187019267,0.164246551,0.160801377,0.160801377
2006,47,17322,50016,24083,7409,5544,2035,,595067,225851216.9,719533462.1,360263198,107792959,80243856,28732165,,,0.01693287,0.063434681,0.119552737,0.160999096,0.14920297,0.155020779,0.155020779
2005,77,15898,43084,19919,8066,4023,1626,,982905,204685062,602405375,285226721.9,111412817,56317977,22485954,,,0.027968955,0.057489757,0.100091539,0.127465821,0.154213441,0.108799067,0.108799067
2004,60,15532,32321,13501,6131,2769,1343,,788520,202994419.1,453396892,190702982,84353604.02,38256504,18219138,,,0.022437652,0.057014907,0.075333313,0.085223825,0.116759094,0.073906631,0.073906631
2003,43,13515,25113,7647,3847,2130,793,,596238,183850830,352709339.9,108295754,52428243.98,28642110,10616684,,,0.016966191,0.05163806,0.058603761,0.048396613,0.072569208,0.055332862,0.055332862
2002,52,11082,19414,5215,1558,2348,567,,734396,153389093,271648756.1,71719579.02,20813111,31233096,7369866,,,0.020897532,0.043082292,0.045135291,0.032050977,0.028808727,0.060338313,0.060338313
2001,384,29602,43674,9404,3561,4210,1400,,5128704,394407954,576461604,126478522,46202424.01,53643820,17768800,,,0.145939326,0.1107771,0.0957809,0.056522364,0.063951662,0.103632941,0.103632941
,,,,,,,,,35142714,3560374443,6018544458,2237672182,722458536,517632904,180153751,,,1,1,1,1,1,1,
,,,,,,,,,35.142714,3560.374443,6018.544458,2237.672182,722.458536,517.632904,180.153751,,,0.000001,,,,,,
