year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100,1000000,,,,,,,,
2018,1383,35844,17268,3497,395,1821,466,,18252834,482732212,232142816,48767771,5840405,25798107,5731800,,,0.376883581,0.137653152,0.044830957,0.026413122,0.010365353,0.060513743,0.040630997
2017,768,28259,18025,3182,501,1293,382,,9787392,371082513,236926198,43432499,7470193,18245523,4614178,,,0.202089568,0.105815763,0.045754714,0.023523484,0.013257846,0.042797904,0.032708512
2016,341,26574,17224,3134,583,917,321,,4338543,348361794,226605744,43487812,8672189,12886601,3909459,,,0.089582013,0.099336853,0.043761648,0.023553442,0.015391108,0.030227662,0.027712973
2015,229,21675,13643,2123,378,629,215,,2887461,282970995,177714765,28969149,5708144,9165788,2734370,,,0.059620147,0.080690388,0.03431992,0.015689986,0.010130621,0.021499878,0.019383122
2014,244,15815,10266,1854,270,459,152,,3060980,207812984,128220116,24381387,3895260,6310332,1927512,,,0.063202958,0.05925876,0.024761613,0.013205208,0.006913176,0.014801931,0.01366355
2013,134,11725,8360,1978,231,255,88,,1684648,152734616,106464719,26781984,3436992,3257880,1066296,,,0.034784526,0.043552928,0.020560254,0.014505396,0.006099857,0.007641898,0.00755865
2012,34,8862,9112,1907,297,231,117,,379916,102622018,109301014,24611693,4114048,2835756,1518894,,,0.007844486,0.029263107,0.021107993,0.013329944,0.007301473,0.006651737,0.01076698
2011,37,10816,11192,2553,285,332,115,,349428,111251994,121137422,31646832,3661208,4168592,1377010,,,0.007214971,0.031723981,0.023393817,0.017140247,0.006497788,0.009778125,0.009761207
2010,17,9379,16209,2317,807,545,149,,167552,92135836,175727641,31216335,10924401,7018510,1844322,,,0.003459605,0.026272927,0.033936171,0.016907085,0.019388258,0.016463081,0.013073841
2009,25,4705,13253,4295,1435,916,212,,285825,55297381,168977896,60776405,19998503,11931816,2773384,,,0.0059017,0.015768284,0.032632674,0.03291712,0.035492667,0.027988056,0.01965968
2008,45,11123,44397,20211,6570,3736,1234,,490410,126629552,579935637,283107849,89206176,47880576,15225092,,,0.010125961,0.036108958,0.111996011,0.153334097,0.158320105,0.112311841,0.107926073
2007,46,13741,53781,26369,7404,5349,1859,,531760,164644075,723144688,373282224,101009622,70959834,24230206,,,0.010979753,0.046948961,0.139652257,0.202173457,0.179268462,0.166448072,0.171760602
2006,45,15892,45396,21139,6249,4695,1674,,508500,184006451,584936168,283784547,80466918,61269750,20764296,,,0.010499482,0.052470225,0.112961704,0.153700603,0.142809965,0.143718372,0.147191815
2005,68,14062,37045,16305,6505,3205,1213,,822052,171364846,489823610,220521816,85201160,41918195,15170991,,,0.016973688,0.048865418,0.094593756,0.119436863,0.151212138,0.098326086,0.107542567
2004,47,13080,26002,10287,4615,2099,1008,,577348,159025611,342168838,136025740,59458264,27224030,12571776,,,0.011921052,0.045346832,0.066078962,0.073672927,0.105524517,0.063858483,0.089117518
2003,36,10322,18462,5167,2653,1506,581,,462132,130517474,241250286,67470178,33306300,19236138,7150948,,,0.009542078,0.037217615,0.046589773,0.036542536,0.059110895,0.045121556,0.050690908
2002,292,27916,41286,9163,3356,4520,1448,,3844180,363683308,533703628,118082124,41084720,56210720,18459104,,,0.079374432,0.103705848,0.103067778,0.063954482,0.072915772,0.131851577,0.130851006
,,,,,,,,,48430961,3506873660,5178181186,1846346345,563454503,426318148,141069638,,,1,1,1,1,1,1,1
,,,,,,,,,48.430961,3506.87366,5178.181186,1846.346345,563.454503,426.318148,141.069638,,,,,,,,,
