year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2001,11885.0,15527.855498120301,18751.320229575078,21307.242831451695,20929.534360950547,21489.0,20589.15562403698
2000,11652.0,15219.190160580045,18007.871982767723,20889.726392915916,20561.90385855051,21068.0,19986.534343434345
1999,11423.0,14916.481521156937,17588.881681707127,20479.30927152318,20133.923854699788,20655.0,19790.042372881355
1998,11199.0,14610.18380504863,17266.39871777148,20071.866930425553,19703.756472261735,20250.0,20010.43215613383
1997,10980.0,14377.352885450382,17011.984088682464,19685.525835089735,19312.2020400859,19853.0,19617.745316859306
1996,10764.0,14221.589133522728,16877.796622349982,19299.451240523777,18908.866772089346,19464.0,18993.650027427317
1995,10553.0,13912.190002889338,16728.381058819927,18921.0624671916,18544.894922960342,19082.0,18576.959687906372
1994,10346.0,13595.32111904155,16386.31150424517,18550.138355489908,18196.945374903375,18708.0,18241.476650563607
1993,10144.0,13311.470170669083,16101.908429819216,18184.94455852156,17912.55744680851,18341.0,17799.669456066946
1992,9945.0,13021.519585466658,15739.069292619026,17827.46527690569,17523.166180758017,17981.0,17524.758139534883
1991,9750.0,12774.177716070808,15100.932132659786,17477.926965544764,17056.89321192053,17629.0,17042.52505966587
1990,9559.0,12520.224747211509,14524.432427458438,17133.50085665334,16702.848375451264,17283.0,16582.17427385892
1989,9371.0,12268.814065732016,14006.503660189788,16795.379738267147,16363.566934893928,16944.0,16307.657718120805
1988,9297.0,12148.42548895899,13597.520154167336,16664.337288135594,16219.369034994697,16810.0,16080.463054187192
1987,9224.0,12054.400872961176,13488.594244604317,16530.428812131424,16105.794926004228,16678.0,16072.152173913044
1986,9151.0,11948.30390879479,13410.404593639576,16396.27707808564,16059.951219512195,16546.0,16052.744186046511
1985,9078.0,11883.606607369758,13306.047743055555,16253.902255639097,15910.212885154062,16415.0,15527.583333333334
