year,<1300cc,1300cc - 1900cc,>1900cc
2012,13705.550736564892,15487.188743123148,14445.244897959185
2011,13580.17556013231,15271.805938812238,14563.077720207253
2010,14482.743980929677,16106.561677959346,15521.112359550561
2009,14495.856104651162,16357.312790175229,16094.624521072798
2008,13223.710295616718,15061.047626439815,14867.229361529076
2007,12369.452160196975,14380.204571849092,14564.021106674272
2006,11625.254556882464,13842.905394448155,14359.753289138194
2005,11921.281671309192,14289.75952419787,14430.53227771011
2004,11542.685878364353,13863.242899522422,13899.502709277895
2003,11422.915974269632,12978.51475690533,13097.957884097035
2002,10938.203367425032,12536.965880573965,12559.852096522616
2001,10361.039271907217,11503.744612068966,11592.913433792883
2000,10311.956402357353,11327.50057573365,11504.374738311235
1999,10229.20716748176,11227.761925991976,11416.744970943228
1998,10242.443795376783,11147.173350856368,11304.108480671262
1997,10061.256864200148,10998.99251036512,11211.51304347826
1996,9991.45032406268,10991.412009569378,11120.624915368991
