0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,2,2,0,1,0,1,3,28,1132,199,804,1303,250,242
15,1,1,1,1,1,1,8,9,33,164,748,1336,186,230
14,1,1,0,1,0,3,21,5,68,123,1387,2341,329,386
13,0,0,0,1,1,242,49,2,86,239,3087,3909,616,691
12,2,1,0,0,5,594,134,5,152,366,4881,4440,1162,1164
11,2,0,0,1,40,482,590,511,183,431,6497,6026,2151,2149
10,3,0,0,2,149,1044,947,2615,309,135,7556,9874,3101,3397
9,7,1,0,0,354,1053,972,3390,139,739,10281,10672,4752,4491
8,8,0,0,2,453,1738,1752,4188,152,3132,10809,10515,6724,4985
7,7,0,0,2,398,1689,1454,3352,122,2488,8753,8170,5418,3927
6,6,0,0,1,295,1300,1021,2286,84,1712,5868,5469,3700,2702
5,5,0,0,1,294,1333,881,2131,79,1505,5412,5082,3461,2502
4,8,0,0,2,640,2310,1684,3889,139,2543,9478,9258,6357,4550
3,8,0,0,1,615,2075,1462,3348,120,2083,8157,8083,5424,3947
2,10,0,0,2,834,2904,2047,4426,159,2635,11345,11122,7212,5343
1,12,0,0,2,1079,3141,2229,5037,182,2957,12707,12754,7955,5942
0,12,0,0,2,1205,2921,2173,5025,172,2850,12606,12439,7461,5722
