0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,262,4422,266,1269,2884,896,432,2247,14,694,55,1412,497,460
15,114,3211,122,1605,2170,1448,423,2055,1,572,47,1154,195,170
14,167,3759,270,1709,2537,2569,898,2523,3,809,79,1266,277,189
13,208,4916,214,1749,2508,5115,1557,3279,6,963,226,1980,406,234
12,273,3796,217,2984,2621,9317,1695,4347,9,1066,337,2489,464,213
11,274,4232,286,5695,3545,14513,1999,6239,6,1845,475,3537,670,326
10,394,4564,1389,7733,5028,17952,3167,7068,3,2398,557,4528,850,501
9,848,6148,3120,10771,8231,29147,2313,9599,5,3626,865,4343,1114,563
8,1422,13042,195,11028,14268,35391,2175,14160,11,4137,1159,5158,1699,670
7,721,14128,75,4149,16962,37168,1985,19712,169,5342,1637,6804,2242,851
6,1723,21195,69,8464,19988,47507,990,20323,35,5607,2400,7370,1329,1043
5,2081,30693,3,13752,26337,62213,3179,24769,46,7404,3769,9703,1501,1539
4,669,17764,1,8946,13244,38182,6821,20065,83,8013,3162,9647,1915,1501
3,257,10305,86,11902,10005,37091,5588,20325,32,8393,768,9713,1856,1511
2,122,8957,984,11846,9100,33901,4700,19248,6,11827,107,6325,1498,1582
1,143,8089,1041,11816,7997,35586,4981,23743,41,12752,59,5757,2126,1557
0,138,7703,804,9309,7749,39481,6130,27075,205,12280,89,6046,1704,1651
