0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,1397,11112,2,20356,6738,24363,1176,8835,23,2909,1586,2678,733,1022
15,147,2457,1,2336,2359,8473,1697,4517,33,1386,722,1645,487,391
14,80,2160,40,4808,2825,12321,2036,7049,51,2332,253,2308,665,519
13,53,2702,584,6639,3738,15506,2344,9366,20,5729,61,2064,738,705
12,76,3162,783,8229,4495,20854,3129,15392,34,11757,31,2361,1296,918
11,96,4015,731,8063,5452,28683,4847,21883,153,16609,65,2958,1294,1186
10,58,5582,857,7129,7834,32705,4492,25378,222,15633,91,3681,1305,1530
9,77,4044,655,6786,9553,38015,4321,29180,58,16319,78,3515,1137,1667
8,64,3417,513,5314,7706,30617,3446,23179,46,12509,65,2922,914,1353
7,42,2360,330,3315,5056,20194,2257,15012,30,7764,43,2007,602,897
6,39,2143,287,2923,4475,17895,1995,13074,27,6642,37,1816,531,803
5,68,3852,492,4877,7721,30814,3436,22373,47,10745,65,3361,918,1403
4,59,3202,411,3979,6507,26000,2876,18692,39,8417,54,2904,765,1185
3,78,4535,544,5280,8636,34464,3787,24774,51,8714,72,4095,1005,1534
2,81,4756,573,5610,9165,36531,3946,26099,54,8094,75,4692,1037,1622
1,69,4237,517,5732,8276,32845,3490,23409,48,6649,65,4403,896,1452
0,59,4085,459,5053,7319,29573,3086,20916,43,5968,57,4339,801,1318
