0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,180,3518,57,19034,2596,14714,2077,7485,62,3646,312,2486,918,974
15,31,1206,332,3346,1670,7676,1203,4417,9,2311,30,992,380,394
14,47,1595,506,4903,2337,11821,1809,8354,19,4698,17,1219,730,531
13,61,2219,524,5524,3239,18275,3156,13545,93,8531,40,1666,813,734
12,40,3419,682,5332,5373,23510,3305,18209,154,10367,62,2389,919,1076
11,58,2863,566,5354,7397,30153,3531,23763,46,12467,60,2564,893,1319
10,52,2719,474,4667,6596,26390,3053,20597,40,11185,55,2328,789,1151
9,40,2047,331,3433,4835,19236,2186,14764,29,8258,40,1780,573,843
8,40,2063,307,3205,4649,18470,2079,13984,28,7545,40,1763,551,817
7,72,4008,563,5634,8587,34301,3835,25497,52,13191,71,3410,1025,1522
6,66,3675,495,5014,7676,30702,3425,22428,47,11394,64,3118,911,1376
5,96,5398,689,6833,10815,43170,4816,31345,66,15055,90,4708,1287,1965
4,110,5989,768,7441,12169,48622,5380,34955,73,15740,101,5430,1433,2215
3,104,6094,730,7092,11603,46300,5087,33281,69,11707,96,5501,1352,2060
2,99,5837,703,6884,11248,44833,4843,32027,67,9934,91,5759,1272,1990
1,111,6802,830,9201,13287,52726,5602,37579,77,10673,104,7068,1438,2331
0,88,6033,678,7464,10810,43677,4557,30891,63,8814,85,6409,1183,1946
