0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,3,20,0,1,1,13,55,434,391,190,3290,2354,1016,357
15,2,0,0,1,1,7,4,16,134,166,2744,1298,396,112
14,2,2,0,2,1,12,55,18,161,417,5026,2589,558,205
13,2,2,0,1,0,16,134,19,243,434,7417,4014,937,354
12,2,1,0,5,0,1042,243,16,355,690,12753,6659,1514,596
11,1,1,0,0,43,1998,473,26,493,816,14396,7472,2238,1082
10,1,0,0,1,308,1772,1485,972,597,794,15219,10554,3659,1820
9,2,2,1,1,820,3169,2125,4319,829,302,13791,16347,4572,2751
8,9,0,0,0,1467,2973,2080,5262,333,1111,14267,16549,5594,3718
7,24,0,0,2,1852,3446,2668,6455,284,3297,13007,15339,7310,4282
6,14,1,0,0,2693,4538,7020,13084,972,7838,15698,25677,6697,3487
5,16,0,3,0,1166,3579,6127,10419,704,4710,4880,22299,3252,595
4,16,0,3,80,953,4233,13066,27509,1558,1897,2041,24543,4488,978
3,10,0,0,865,1442,5390,10344,27041,3728,374,64,24338,3934,1086
2,3,0,0,704,854,5092,6148,22932,4983,310,38,19065,4257,1203
1,5,1,2,481,766,4494,6002,18361,5224,339,15,14104,3586,972
0,10,0,1,347,873,5512,9213,20837,7128,354,0,15011,4441,1238
