0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,607,26545,523,5150,10006,39824,1658,11604,44,3617,1525,5466,1243,900
15,123,11375,3,3300,3611,15908,1920,6096,107,1761,1068,3006,457,333
14,110,8347,41,7086,4685,22449,2503,9134,152,2799,361,4134,641,418
13,110,8129,695,8730,6519,25811,2796,11838,110,6304,85,3643,741,607
12,144,7896,902,10009,7244,29673,3693,18198,105,8695,20,4056,1231,769
11,132,7769,833,9120,7818,36214,5317,23760,247,9644,11,4921,1109,942
10,69,8708,941,8447,9930,38706,4846,26125,289,7998,63,5924,1119,1175
9,48,6402,689,7539,11463,42225,4508,28997,57,8014,16,5661,944,1246
8,26,4835,618,6178,8797,34878,2417,20124,24,6334,3,3430,408,723
7,12,2460,117,2275,5078,9244,516,3817,8,1171,1,704,35,96
6,3,3692,225,5677,8109,8507,500,2070,3,669,1,421,34,78
5,34,3313,260,7318,5679,5480,235,2317,5,151,0,211,16,59
4,39,3235,198,5356,4561,4071,108,1591,2,155,0,97,10,65
3,121,4164,219,6942,3627,3368,83,1542,3,82,0,132,3,52
2,231,5717,17,8807,4264,3255,108,1088,1,75,0,280,1,81
1,224,8848,0,11284,4667,5253,396,1283,1,46,0,390,1,97
0,258,11119,1,12157,4867,5784,999,1825,6,106,0,511,64,93
