0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,15220,15220,11288,11288,16267,16267,14625,14625,15230,15230,12267,12267,8625,8625
15,22244,22244,11288,11288,16267,16267,14625,14625,15230,15230,12267,12267,8625,8625
14,15261,15261,11288,11288,16267,16267,14625,14625,15230,15230,12267,12267,8625,8625
13,15261,15261,11288,11288,16267,16267,9712,9712,15230,15230,12267,12267,8625,8625
12,15261,15261,11288,11288,16267,16267,14824,14824,15230,15230,12267,12267,8625,8625
11,15261,15261,11288,11288,16267,16267,15253,15253,11004,11004,15220,15220,18231,18231
10,15057,15057,11288,11288,16267,16267,16194,16194,18698,18698,17604,17604,18515,18515
9,15220,15220,11288,11288,15179,15179,16137,16137,15468,15468,16056,16056,16480,16480
8,15220,15220,12490,12490,15008,15008,15658,15658,15534,15534,15238,15238,18300,18300
7,15220,15220,13550,13550,15365,15365,18493,18493,15428,15428,15608,15608,18080,18080
6,6337,6337,12206,12206,15024,15024,19877,19877,15983,15983,21971,21971,18174,18174
5,11156,11156,11988,11988,15392,15392,23922,23922,13566,13566,13827,13827,17986,17986
4,15098,15098,14083,14083,14127,14127,22520,22520,15082,15082,15270,15270,19897,19897
3,15871,15871,15220,15220,16177,16177,16867,16867,17132,17132,15344,15344,15987,15987
2,15267,15267,15220,15220,15016,15016,16646,16646,16112,16112,15220,15220,15433,15433
1,15275,15275,15359,15359,15254,15254,15342,15342,15250,15250,15214,15214,15596,15596
0,15427,15427,15359,15359,15424,15424,15410,15410,15415,15415,15408,15408,15409,15409
