0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,0,0,0,0,0,9,728,10,0,991,0,12,637,107
15,0,0,0,0,0,6,495,0,0,423,0,0,399,64
14,0,0,0,0,0,26,247,0,0,310,0,2,338,76
13,0,0,0,0,0,22,142,0,0,405,0,9,91,97
12,0,0,0,0,0,81,13,0,0,688,0,13,2,111
11,0,0,0,0,0,217,30,0,0,557,0,0,0,145
10,0,0,0,0,0,447,66,0,0,564,0,0,0,192
9,0,0,0,0,0,481,253,0,0,69,0,0,2,49
8,0,0,0,0,0,549,708,0,0,1,0,0,12,334
7,0,0,0,0,0,206,522,0,0,0,0,12,0,272
6,0,0,0,0,0,51,351,0,0,0,0,1,0,153
5,0,0,0,0,0,34,291,0,0,0,0,0,0,25
4,0,0,0,0,0,30,207,0,0,0,0,0,0,0
3,0,0,0,0,0,13,11,0,0,0,0,0,2,0
2,0,0,0,0,0,3,6,0,0,0,0,0,3,0
1,0,1,0,0,0,0,5,0,0,0,0,0,0,0
0,0,1,0,0,0,0,9,0,0,0,0,0,0,0
