0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,18173,18173,18186,18186,18053,18053,18177,18177,22382,22382,18074,18074,18388,18388
15,18173,18173,18186,18186,18053,18053,18177,18177,22382,22382,18074,18074,18388,18388
14,18173,18173,18186,18186,18053,18053,18177,18177,22382,22382,18074,18074,18388,18388
13,18173,18173,18186,18186,18053,18053,18177,18177,22382,22382,18074,18074,18388,18388
12,18173,18173,18186,18186,18053,18053,18177,18177,22382,22382,18074,18074,18388,18388
11,18173,18173,18186,18186,18053,18053,18177,18177,22382,22382,18074,18074,18388,18388
10,18173,18173,18186,18186,18053,18053,18177,18177,22382,22382,18074,18074,18388,18388
9,18173,18173,18186,18186,18053,18053,18177,18177,22382,22382,18074,18074,18388,18388
8,18173,18173,18186,18186,18053,18053,18244,18244,22382,22382,18074,18074,18388,18388
7,18205,18205,18186,18186,18053,18053,12564,12564,16508,16508,22188,22188,21928,21928
6,18205,18205,18186,18186,18053,18053,13446,13446,16508,16508,22188,22188,21928,21928
5,18205,18205,18205,18205,16410,16410,17539,17539,16508,16508,22188,22188,24148,24148
4,18205,18205,18205,18205,18205,18205,19034,19034,18205,18205,22188,22188,17901,17901
3,18205,18205,18205,18205,18197,18197,18074,18074,18213,18213,18205,18205,18223,18223
2,19430,19430,18205,18205,18204,18204,18219,18219,18182,18182,18214,18214,18210,18210
1,18116,18116,18199,18199,18224,18224,18162,18162,18198,18198,18201,18201,18221,18221
0,18444,18444,18438,18438,18351,18351,18319,18319,18436,18436,18461,18461,18290,18290
