0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849,0.19112849
15,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838,0.221731838
14,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336,0.254995336
13,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983,0.290918983
12,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779,0.329502779
11,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725,0.370746725
10,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821,0.414650821
9,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066,0.461215066
8,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461,0.510439461
7,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005,0.562324005
6,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698,0.616868698
5,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542,0.674073542
4,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534,0.733938534
3,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676,0.796463676
2,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968,0.861648968
1,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409,0.929494409
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
