0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,9973,9973,12793,12793,13594,13594,18184,18184,11859,11859,3098,3098,13261,13261
15,9973,9973,12793,12793,13594,13594,18184,18184,11859,11859,3098,3098,13261,13261
14,9973,9973,12793,12793,13594,13594,13939,13939,11859,11859,3098,3098,12473,12473
13,9973,9973,12793,12793,13594,13594,12475,12475,11859,11859,12613,12613,13251,13251
12,13475,13475,12793,12793,13594,13594,13595,13595,11923,11923,12574,12574,16018,16018
11,13540,13540,12793,12793,13953,13953,13999,13999,14025,14025,13122,13122,15067,15067
10,13583,13583,12793,12793,13559,13559,14179,14179,13690,13690,13832,13832,15075,15075
9,13540,13540,12302,12302,14105,14105,14700,14700,13763,13763,14153,14153,15341,15341
8,5087,5087,10427,10427,12469,12469,14268,14268,12949,12949,14471,14471,15022,15022
7,9944,9944,10519,10519,14460,14460,15078,15078,12328,12328,11610,11610,16086,16086
6,11929,11929,13081,13081,14041,14041,16388,16388,13282,13282,14975,14975,16237,16237
5,16577,16577,8069,8069,13478,13478,13409,13409,15142,15142,15397,15397,18895,18895
4,15041,15041,8069,8069,13083,13083,12558,12558,14212,14212,13704,13704,18238,18238
3,13737,13737,13540,13540,13902,13902,13829,13829,14272,14272,14514,14514,14074,14074
2,13564,13564,13540,13540,14285,14285,13683,13683,13902,13902,13894,13894,13698,13698
1,13494,13494,13540,13540,13651,13651,13596,13596,13584,13584,13532,13532,13552,13552
0,13725,13725,13540,13540,13617,13617,13699,13699,13705,13705,13690,13690,13705,13705
