0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,2,2,0,1,1,2,3,83,1650,173,640,1043,341,275
15,1,0,1,3,0,6,2,20,50,122,502,1145,244,132
14,1,1,0,1,0,1,3,13,103,216,1105,1581,260,193
13,1,1,1,1,1,3,17,18,87,409,2219,3053,461,497
12,2,1,0,1,0,6,42,10,156,281,3537,4723,749,751
11,0,0,0,2,1,374,93,4,178,478,6872,6985,1263,1184
10,3,1,0,0,12,946,231,9,268,614,9284,6699,2054,1782
9,2,0,0,1,88,690,791,734,283,649,10312,7653,3139,2831
8,3,0,0,2,226,1220,1327,3323,401,177,10038,11143,3921,3937
7,8,1,0,0,462,1482,1328,3878,156,842,12190,11355,5498,4852
6,8,0,0,2,578,2551,2003,4486,164,3359,11514,10732,7262,5301
5,7,0,0,2,488,2209,1460,3533,131,2494,8972,8423,5737,4147
4,6,0,0,1,393,1420,1035,2390,85,1564,5826,5691,3908,2797
3,5,0,0,1,391,1320,929,2129,76,1326,5187,5140,3449,2510
2,9,0,0,2,681,2371,1671,3613,131,2151,9263,9079,5887,4361
1,8,0,0,1,692,2014,1430,3231,118,1896,8151,8181,5102,3811
0,11,0,0,2,1134,2749,2045,4729,161,2682,11863,11706,7022,5385
