0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,10716,10716,9345,9345,11340,11340,12244,12244,13558,13558,15269,15269,15101,15101
15,10880,10880,9488,9488,11513,11513,12432,12432,13766,13766,15502,15502,15333,15333
14,11047,11047,9634,9634,11690,11690,12623,12623,13977,13977,15741,15741,15568,15568
13,11217,11217,9781,9781,11869,11869,12816,12816,14191,14191,15982,15982,15806,15806
12,11388,11388,9932,9932,12051,12051,13012,13012,14409,14409,16227,16227,16049,16049
11,12706,12706,20275,20275,12419,12419,15014,15014,16720,16720,18350,18350,16851,16851
10,22638,22638,8467,8467,18617,18617,18775,18775,20770,20770,22482,22482,21533,21533
9,24632,24632,23444,23444,20503,20503,19447,19447,21791,21791,22979,22979,22179,22179
8,24398,24398,23582,23582,20512,20512,21011,21011,22260,22260,23294,23294,22503,22503
7,23444,23444,19607,19607,21582,21582,22802,22802,22904,22904,23666,23666,23017,23017
6,23444,23444,21193,21193,24655,24655,24387,24387,24046,24046,25753,25753,24107,24107
5,28554,28554,22728,22728,24246,24246,24959,24959,23554,23554,25498,25498,23675,23675
4,26506,26506,28980,28980,24162,24162,24760,24760,24589,24589,25769,25769,23976,23976
3,30219,30219,12666,12666,24119,24119,24014,24014,24838,24838,25001,25001,23993,23993
2,29597,29597,24039,24039,23790,23790,23802,23802,24961,24961,25217,25217,24012,24012
1,27094,27094,23877,23877,24186,24186,24087,24087,25014,25014,25560,25560,24335,24335
0,27503,27503,24238,24238,24551,24551,24452,24452,25392,25392,25947,25947,24703,24703
