0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,439,9596,930,3076,6606,25103,1594,7391,38,2614,695,3915,1187,654
15,303,10527,15,2513,4590,17121,461,5683,14,1657,824,2159,332,216
14,501,20529,5,5509,9747,29084,1425,9918,46,2669,1772,3717,511,429
13,267,14300,4,5405,6524,24410,3720,10751,171,3369,2005,5099,780,512
12,176,9579,54,9462,6984,29738,4056,14234,200,4851,582,6460,1079,672
11,141,8737,824,10578,8001,30896,3838,16048,132,9195,133,5179,1123,929
10,176,8292,998,11108,7893,33550,4468,21797,106,11090,34,5205,1676,1028
9,148,7914,867,9734,8148,39330,5972,26627,251,11258,10,5677,1363,1258
8,69,8805,978,8719,10060,40407,5004,27892,282,8787,90,6463,1274,1496
7,49,6276,680,7642,11512,43179,4617,30069,54,8255,23,5969,1028,1523
6,139,8684,903,11287,8626,34366,4756,19631,69,12497,151,6931,1689,1338
5,136,8013,1034,11473,7812,38222,5325,26006,76,14089,23,6566,2370,1496
4,117,7692,834,9615,7595,42472,6545,29373,238,13045,9,6633,1808,1618
3,38,8371,895,8265,9249,41171,5186,29037,260,9350,55,7151,1483,1810
2,29,5734,625,6961,10128,42412,4526,29591,54,8394,23,5930,1079,1576
1,68,4662,524,5768,8354,34236,3572,24214,50,6909,66,5110,944,1552
0,45,3059,344,3784,5481,22147,2311,15664,32,4469,43,3250,600,987
