0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,10900,10900,10972,10972,11406,11406,11691,11691,11518,11518,11148,11148,10645,10645
15,10864,10864,11394,11394,11571,11571,12077,12077,11755,11755,11545,11545,11403,11403
14,10763,10763,11188,11188,12033,12033,12381,12381,11926,11926,11828,11828,11653,11653
13,10908,10908,11366,11366,12174,12174,12735,12735,12285,12285,12120,12120,11620,11620
12,10932,10932,11259,11259,12451,12451,12869,12869,12548,12548,12589,12589,12213,12213
11,11649,11649,11978,11978,12912,12912,13367,13367,12948,12948,12701,12701,12778,12778
10,11817,11817,12864,12864,13852,13852,14731,14731,14609,14609,14371,14371,14554,14554
9,10499,10499,11554,11554,12817,12817,13913,13913,13654,13654,13372,13372,13066,13066
8,10773,10773,11895,11895,13133,13133,14194,14194,14095,14095,13703,13703,13596,13596
7,10941,10941,11837,11837,12313,12313,13966,13966,14176,14176,13372,13372,12497,12497
6,10402,10402,10564,10564,11596,11596,14784,14784,13979,13979,13406,13406,12337,12337
5,9161,9161,11146,11146,10649,10649,12376,12376,12936,12936,13138,13138,12783,12783
4,11702,11702,13019,13019,12475,12475,13517,13517,13381,13381,13234,13234,13068,13068
3,11415,11415,12608,12608,12511,12511,14031,14031,16149,16149,14604,14604,12526,12526
2,11880,11880,12915,12915,12881,12881,14177,14177,14497,14497,14954,14954,12994,12994
1,11915,11915,13065,13065,12725,12725,13568,13568,13344,13344,14294,14294,12580,12580
0,12114,12114,13206,13206,12833,12833,13574,13574,14085,14085,14382,14382,12765,12765
