0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,2,2,0,1,1,2,3,83,1650,173,640,1043,341,275
15,1,0,1,3,0,6,2,20,50,122,502,1145,244,132
14,1,1,0,1,0,1,3,13,103,216,1105,1581,260,193
13,1,1,1,1,1,3,17,18,87,409,2219,3053,461,497
12,2,1,0,1,0,6,42,10,156,281,3537,4723,749,751
11,0,0,0,2,1,374,93,4,178,478,6872,6985,1263,1184
10,3,1,0,0,12,946,231,9,268,614,9284,6699,2054,1782
9,2,0,0,1,88,690,791,734,283,649,10312,7653,3139,2831
8,3,0,0,2,226,1220,1327,3323,401,177,10038,11143,3921,3937
7,8,1,0,0,462,1482,1328,3878,156,842,12190,11355,5498,4852
6,8,0,0,2,578,2551,2003,4486,164,3359,11514,10732,7262,5301
5,7,0,0,2,539,2437,1613,3898,144,2751,9898,9295,6333,4576
4,7,0,0,1,474,1716,1251,2889,103,1890,7042,6879,4723,3381
3,7,0,0,1,513,1734,1222,2797,100,1742,6814,6751,4532,3296
2,12,0,0,2,964,3356,2366,5116,186,3047,13114,12855,8336,6175
1,12,0,0,2,1054,3069,2179,4921,178,2890,12418,12464,7774,5806
0,18,0,0,3,1845,4472,3327,7693,263,4363,19299,19043,11423,8760
