0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616,0.164616
15,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854,0.194854
14,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022,0.228022
13,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120,0.264120
12,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148,0.303148
11,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105,0.345105
10,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992,0.389992
9,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809,0.437809
8,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556,0.488556
7,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232,0.542232
6,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839,0.598839
5,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374,0.658374
4,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840,0.720840
3,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235,0.786235
2,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561,0.854561
1,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815,0.925815
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
