0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,102.8366943,102.8366943,102.8366943,102.8366943,102.8366943,104.3105403,104.3105403,104.3105403,104.3105403,106.1119409,106.1119409,106.1119409,106.1119409,106.1119409
2,101.5240874,101.5240874,101.5240874,101.5240874,101.5240874,103.3830102,103.3830102,103.3830102,103.3830102,106.3652984,106.3652984,106.3652984,106.3652984,106.3652984
3,101.1236635,101.1236635,101.1236635,101.1236635,101.1236635,102.0147974,102.0147974,102.0147974,102.0147974,104.6247686,104.6247686,104.6247686,104.6247686,104.6247686
4,100.6217342,100.6217342,100.6217342,100.6217342,100.6217342,101.7056905,101.7056905,101.7056905,101.7056905,99.66224674,99.66224674,99.66224674,99.66224674,99.66224674
5,100.1467179,100.1467179,100.1467179,100.1467179,100.1467179,101.0141623,101.0141623,101.0141623,101.0141623,99.6891168,99.6891168,99.6891168,99.6891168,99.6891168
6,99.58511976,99.58511976,99.58511976,99.58511976,99.58511976,100.144117,100.144117,100.144117,100.144117,97.80046756,97.80046756,97.80046756,97.80046756,97.80046756
7,98.76441563,98.76441563,98.76441563,98.76441563,98.76441563,99.2423339,99.2423339,99.2423339,99.2423339,98.26543011,98.26543011,98.26543011,98.26543011,98.26543011
8,97.28246464,97.28246464,97.28246464,97.28246464,97.28246464,97.75777132,97.75777132,97.75777132,97.75777132,96.47694252,96.47694252,96.47694252,96.47694252,96.47694252
9,96.09196494,96.09196494,96.09196494,96.09196494,96.09196494,96.55969669,96.55969669,96.55969669,96.55969669,95.69968101,95.69968101,95.69968101,95.69968101,95.69968101
10,93.24410638,93.24410638,93.24410638,93.24410638,93.24410638,93.51161682,93.51161682,93.51161682,93.51161682,91.71958164,91.71958164,91.71958164,91.71958164,91.71958164
11,91.20331559,91.20331559,91.20331559,91.20331559,91.20331559,90.46002681,90.46002681,90.46002681,90.46002681,87.91196781,87.91196781,87.91196781,87.91196781,87.91196781
12,87.98318958,87.98318958,87.98318958,87.98318958,87.98318958,84.92183219,84.92183219,84.92183219,84.92183219,83.63966883,83.63966883,83.63966883,83.63966883,83.63966883
13,84.87810096,84.87810096,84.87810096,84.87810096,84.87810096,82.43296081,82.43296081,82.43296081,82.43296081,80.78341084,80.78341084,80.78341084,80.78341084,80.78341084
14,81.70054176,81.70054176,81.70054176,81.70054176,81.70054176,78.68295169,78.68295169,78.68295169,78.68295169,78.15728013,78.15728013,78.15728013,78.15728013,78.15728013
15,76.72165066,76.72165066,76.72165066,76.72165066,76.72165066,74.73978388,74.73978388,74.73978388,74.73978388,74.83309113,74.83309113,74.83309113,74.83309113,74.83309113
16,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207,74.08182207
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
