0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,5396.103334666667,8648.22414638298,0.0,9729.703505454547,3699.068046329671,4175.0556204773275,4037.952615362468,4905.95491330888,6950.284346213503,6217.417482115513,5834.769193762401,5714.961582342378,5434.80314999805,4871.533708565814
15,6387.303294777778,10236.799994042552,0.0,11516.93424,4378.542821472528,4941.963647959427,4779.67645255527,5807.120441985521,8226.96886084637,7359.483076129514,6906.54685134725,6764.7320076161595,6433.111805594352,5766.376471599863
14,7474.548492111111,11979.30557361702,0.0,13477.343956363637,5123.857304637363,5783.183485763723,5593.271803835475,6795.607056680502,9627.36147878879,8612.212476958153,8082.177559290046,7916.223027706138,7528.154516382704,6747.927657667505
13,8657.838926666667,13875.740885106385,0.0,15610.932654545455,5935.011495824177,6698.715133890215,6478.738669203085,7871.414757393823,11151.462200040763,9975.605684601433,9361.66131759079,9169.434642612316,8719.931282363104,7816.187266768739
12,9937.174598444444,15926.105928510637,0.0,17917.700334545454,6812.005395032967,7688.558592338902,7436.077048658097,9034.543544125481,12799.27102460229,11449.662699059347,10744.998126249478,10524.366852334688,10008.442103535552,8971.155298903564
11,11312.5227275,18130.348168085107,0.0,20397.58789090909,7754.816531373627,8752.688498717183,8465.26241267352,10284.963614457047,14570.745731277706,13034.345751114557,12232.152540539031,11980.984939946702,11393.653964864148,10212.802160753543
10,12783.916093777778,20488.52013957447,0.0,23050.654429090908,8763.467375736265,9891.130215417661,9566.31929077635,11622.70477080695,16465.928541262674,14729.692609984406,13823.160005186532,13539.323622374912,12875.599881384793,11541.157445637113
9,14351.354697277779,23000.621842978722,0.0,25876.89994909091,9837.95792812088,11103.883742440334,10739.247682966581,13047.767013175193,18484.819454557197,16535.703275668893,15518.02052019198,15199.38289961932,14454.279853097487,12956.221153554274
8,16014.838538,25666.653278297872,0.0,28876.32445090909,10978.288188527473,12390.949079785203,11984.047589244215,14560.150341561775,20627.418471161272,18452.37774816802,17316.734085555374,16961.162771679927,16129.693880002227,14457.993284505028
7,17774.334836,28486.561909787237,0.0,32048.868829090912,12184.435686065935,13752.300865059668,13300.694480082262,16159.824953548263,22893.683369879236,20479.67825826444,19219.265256549632,18824.628521630173,17901.80894706312,16046.444245170935
6,19629.909151166667,31460.45280893617,0.0,35394.65129454545,13456.445362516484,15187.989823048925,14689.237414534704,17846.850453971525,25283.698593102417,22617.68034439284,21225.68492262892,20789.849583323172,19770.691084351958,17721.633222188873
5,21581.463143666668,34588.16836851064,0.0,38913.49453090909,14794.249805208792,16697.93986657518,16149.602804020566,19621.137435576256,27797.33747724382,24866.270698901193,23335.886749611986,22856.721805979254,21736.24124676104,19483.47143560352
4,23629.095153333335,37869.86619574468,0.0,42605.57585454546,16197.916426813188,18282.22708281623,17681.864237120823,21482.77530561776,30434.726685890444,27225.562629441527,25549.977071680085,25025.349340378092,23798.558479398078,21332.047665370203
3,25772.739620277778,41305.44121914894,0.0,46470.777054545455,17667.40028554945,19940.800746986875,19285.97265478149,23431.70445925917,33195.781776650954,29695.480597579157,27867.884999379046,27295.662752666565,25957.576752191257,23267.302724852034
2,28012.46210438889,44894.99851021277,0.0,50509.21634181818,19202.746323197804,21673.711583872315,20961.977116056554,25467.984501337356,36080.58719191668,32276.100141748764,30289.68142216304,29667.731476697798,28213.36209521239,25289.2958006859
1,30348.164265833337,48638.38046170213,0.0,54720.716400000005,20803.887127087914,23480.88350629475,22709.80403236504,27591.52602459701,39089.01626810063,34967.30795429833,32815.26000585081,32141.45136169211,30565.81546335377,27397.93811291648
0,32779.944444444445,52535.744680851065,0.0,59105.454545454544,22470.89010989011,25362.39260143198,24529.526992287916,29802.418436293436,42221.195668789805,37769.21734287987,35444.72708462361,34716.92655842918,33015.035901723095,29593.318441499086
