0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,4,10,0,2,1,10,39,357,367,251,4321,2636,1025,314
15,3,0,0,2,1,6,47,11,118,297,3941,1873,393,139
14,2,1,0,1,0,15,124,16,175,330,6203,2917,670,256
13,2,1,0,5,0,894,233,10,307,574,11246,5321,1220,430
12,0,1,0,0,40,1849,431,21,441,734,13223,6187,1857,814
11,1,0,0,0,288,1733,1340,849,556,717,14453,9512,3149,1417
10,1,2,1,1,804,3206,1961,4007,809,321,13360,15556,4198,2150
9,10,1,0,0,1472,3031,2086,5093,334,1138,13875,15948,5350,3101
8,8,0,0,2,1905,3491,2710,6437,299,3272,12838,14984,7050,3572
7,12,1,0,0,2917,4758,7094,13728,1045,8008,16060,26263,6773,3065
6,17,0,2,0,1251,3704,6205,11196,829,4810,5028,23109,3406,567
5,15,0,2,85,1099,4406,13307,29134,1702,1989,2086,26083,4700,974
4,12,0,0,895,1590,5520,10874,30277,4072,393,67,27977,4233,1083
3,3,0,0,732,916,5235,6753,25654,5526,316,40,21715,4623,1167
2,6,1,2,501,806,4585,6184,19447,5517,357,16,15361,4017,962
1,11,1,1,375,899,5645,9466,22108,7359,374,0,16402,4705,1319
0,14,1,0,321,515,5710,14474,27964,8035,136,0,18813,4976,1318
