0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,1123,8161,43,12187,5007,18889,396,7224,16,2089,1014,2181,643,741
15,465,4371,1,3481,4664,13748,798,5483,13,1235,874,1686,374,404
14,197,3834,2,3450,3710,12574,2451,6854,48,2087,1061,2426,691,526
13,103,3101,51,6459,4021,16771,2747,9849,71,3839,352,3255,909,690
12,67,3731,710,8295,5049,20096,3005,12350,27,8709,80,2835,960,917
11,93,4141,897,9613,5602,25256,3749,18858,42,15058,39,3052,1587,1140
10,112,5004,802,9228,6379,32947,5499,24894,177,19555,76,3525,1499,1358
9,65,6324,903,7896,8647,35897,4845,27394,244,17380,101,4234,1434,1688
8,84,4485,672,6976,10112,40181,4522,30420,61,16416,83,3835,1199,1777
7,68,3710,521,5213,7949,31750,3550,23602,48,12210,67,3156,949,1409
6,47,2574,346,3509,5375,21495,2398,15702,33,7977,46,2184,635,963
5,44,2462,313,3113,4931,19681,2195,14290,29,6863,42,2147,585,896
4,81,4375,561,5435,8890,35522,3931,25536,52,11499,74,3967,1047,1618
3,71,4110,492,4782,7826,31232,3433,22450,46,7897,65,3711,911,1391
2,98,5679,683,6695,10942,43617,4714,31158,64,9664,89,5602,1237,1936
1,104,6289,766,8501,12281,48737,5180,34735,69,9865,96,6533,1328,2155
0,93,6332,710,7828,11343,45833,4784,32416,65,9249,89,6724,1241,2042
