0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,402,7112,1016,3019,4951,18360,1442,5655,6,2036,437,3273,960,593
15,97,4916,103,1081,3633,12567,686,4272,45,1428,463,1808,529,227
14,386,11919,18,3195,5897,20690,557,7329,16,2170,1108,2727,422,259
13,635,22099,6,6534,11830,33946,1739,12297,49,3406,2280,4602,682,522
12,318,15036,4,6094,7628,27178,4434,12649,198,4166,2405,6174,1021,646
11,191,9872,62,10086,7648,31721,4539,15973,227,5911,694,7520,1262,840
10,151,8871,871,10978,8378,32221,4166,17181,137,10135,139,5851,1255,1096
9,175,8266,1031,11372,8056,34653,4742,22904,108,11867,38,5608,1863,1239
8,149,7909,860,9961,8134,39918,6103,27230,243,11658,10,5848,1485,1372
7,63,8792,969,8766,10078,40805,5085,28355,279,9022,95,6629,1362,1573
6,51,6197,678,7648,11490,43276,4640,30375,58,8401,21,6033,1051,1608
5,31,4579,582,6091,8464,35012,2324,20823,23,6466,3,3524,433,895
4,8,2173,107,2124,4643,8300,405,3755,6,1188,2,664,36,119
3,3,3427,219,5507,7715,7618,437,1832,1,625,1,359,31,80
2,23,3104,261,6929,5392,4616,203,2050,4,97,1,165,10,50
1,19,3097,196,5125,4181,3355,90,1337,1,108,0,64,4,39
0,101,3761,211,6376,3217,2667,82,1141,4,48,0,104,0,17
