0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,1,28,0,3,3,3,18,603,48,58,100,333,231,75
15,0,52,1,1,4,4,18,461,62,78,96,302,212,33
14,1,28,0,4,3,11,40,821,112,211,208,483,288,69
13,0,43,2,11,2,9,39,1341,155,347,261,837,410,79
12,2,87,0,8,2,17,62,651,402,593,1274,1298,773,119
11,2,97,0,3,3,81,85,166,1100,435,2017,2593,658,184
10,1,52,2,3,1,105,151,66,1609,973,3063,3842,953,314
9,4,0,2,3,0,8,162,115,1488,1326,3322,3966,1444,389
8,2,0,0,1,1,5,61,113,1830,1335,3952,4737,1437,369
7,3,2,2,5,2,13,16,143,799,1167,4830,5165,1401,404
6,1,0,1,14,1,30,9,112,441,1182,5465,6907,1730,526
5,5,2,1,3,1,0,7,39,554,1209,7248,6051,1193,567
4,3,2,2,0,0,11,43,43,280,1419,9088,7583,1433,1136
3,6,0,0,2,0,8,98,17,340,620,8004,7920,1461,1325
2,9,0,0,0,1,904,119,7,272,760,9805,9168,1726,1575
1,5,0,0,0,22,1598,320,9,307,738,9570,6713,2373,2002
0,23,0,0,0,171,1119,1044,803,283,623,9660,7268,3167,2803
